Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.08%       8.787us         0.10%      10.685us      10.685us             1  
                 aten::as_strided         0.02%       1.898us         0.02%       1.898us       1.898us             1  
                    aten::reshape         0.04%       4.177us         0.07%       7.896us       7.896us             1  
                       aten::view         0.03%       3.719us         0.03%       3.719us       3.719us             1  
                     aten::conv2d         0.24%      26.535us        78.95%       8.565ms       8.565ms             1  
                aten::convolution         0.05%       5.273us        78.71%       8.539ms       8.539ms             1  
               aten::_convolution         0.21%      22.484us        78.66%       8.533ms       8.533ms             1  
                 aten::contiguous         0.01%       1.114us         0.01%       1.114us       1.114us             1  
          aten::cudnn_convolution        77.88%       8.449ms        78.01%       8.463ms       8.463ms             1  
                      aten::empty         0.05%       5.361us         0.05%       5.361us       5.361us             1  
                 aten::contiguous         0.00%       0.288us         0.00%       0.288us       0.288us             1  
                    aten::resize_         0.03%       3.732us         0.03%       3.732us       3.732us             1  
                 aten::contiguous         0.00%       0.200us         0.00%       0.200us       0.200us             1  
                    aten::resize_         0.00%       0.160us         0.00%       0.160us       0.160us             1  
                     aten::stride         0.01%       0.631us         0.01%       0.631us       0.631us             1  
                     aten::stride         0.00%       0.162us         0.00%       0.162us       0.162us             1  
                     aten::stride         0.00%       0.124us         0.00%       0.124us       0.124us             1  
                     aten::stride         0.00%       0.117us         0.00%       0.117us       0.117us             1  
                      aten::empty         0.04%       4.001us         0.04%       4.001us       4.001us             1  
                    aten::reshape         0.02%       2.280us         0.12%      12.932us      12.932us             1  
                       aten::view         0.10%      10.652us         0.10%      10.652us      10.652us             1  
                       aten::add_         0.31%      33.508us         0.31%      33.508us      33.508us             1  
                       aten::relu         0.16%      17.293us         0.40%      43.295us      43.295us             1  
                  aten::threshold         0.19%      20.781us         0.24%      26.002us      26.002us             1  
                      aten::empty         0.05%       5.221us         0.05%       5.221us       5.221us             1  
                     aten::conv2d         0.02%       2.193us         1.43%     154.726us     154.726us             1  
                aten::convolution         0.03%       3.007us         1.41%     152.533us     152.533us             1  
               aten::_convolution         0.09%       9.685us         1.38%     149.526us     149.526us             1  
                 aten::contiguous         0.01%       0.640us         0.01%       0.640us       0.640us             1  
          aten::cudnn_convolution         1.05%     114.030us         1.11%     119.922us     119.922us             1  
                      aten::empty         0.02%       1.657us         0.02%       1.657us       1.657us             1  
                 aten::contiguous         0.00%       0.263us         0.00%       0.263us       0.263us             1  
                    aten::resize_         0.01%       0.830us         0.01%       0.830us       0.830us             1  
                 aten::contiguous         0.00%       0.213us         0.00%       0.213us       0.213us             1  
                    aten::resize_         0.00%       0.200us         0.00%       0.200us       0.200us             1  
                     aten::stride         0.00%       0.320us         0.00%       0.320us       0.320us             1  
                     aten::stride         0.00%       0.118us         0.00%       0.118us       0.118us             1  
                     aten::stride         0.00%       0.123us         0.00%       0.123us       0.123us             1  
                     aten::stride         0.01%       0.625us         0.01%       0.625us       0.625us             1  
                      aten::empty         0.01%       1.543us         0.01%       1.543us       1.543us             1  
                    aten::reshape         0.01%       1.037us         0.05%       5.619us       5.619us             1  
                       aten::view         0.04%       4.582us         0.04%       4.582us       4.582us             1  
                       aten::add_         0.13%      13.660us         0.13%      13.660us      13.660us             1  
                       aten::relu         0.04%       4.747us         0.23%      24.603us      24.603us             1  
                  aten::threshold         0.07%       7.196us         0.18%      19.856us      19.856us             1  
                      aten::empty         0.12%      12.660us         0.12%      12.660us      12.660us             1  
                 aten::max_pool2d         0.06%       6.372us         0.36%      39.440us      39.440us             1  
    aten::max_pool2d_with_indices         0.25%      27.490us         0.30%      33.068us      33.068us             1  
                      aten::empty         0.01%       0.846us         0.01%       0.846us       0.846us             1  
                      aten::empty         0.00%       0.377us         0.00%       0.377us       0.377us             1  
                 aten::contiguous         0.01%       0.579us         0.01%       0.579us       0.579us             1  
                     aten::stride         0.00%       0.223us         0.00%       0.223us       0.223us             1  
                     aten::stride         0.00%       0.144us         0.00%       0.144us       0.144us             1  
                     aten::stride         0.00%       0.152us         0.00%       0.152us       0.152us             1  
                     aten::stride         0.00%       0.116us         0.00%       0.116us       0.116us             1  
                    aten::resize_         0.02%       2.488us         0.02%       2.488us       2.488us             1  
                    aten::resize_         0.01%       0.653us         0.01%       0.653us       0.653us             1  
            aten::feature_dropout         0.11%      11.822us         0.78%      84.632us      84.632us             1  
                      aten::empty         0.02%       2.084us         0.02%       2.084us       2.084us             1  
                 aten::bernoulli_         0.17%      18.701us         0.17%      18.701us      18.701us             1  
                       aten::div_         0.26%      28.066us         0.26%      28.066us      28.066us             1  
                        aten::mul         0.20%      21.788us         0.22%      23.959us      23.959us             1  
                      aten::empty         0.02%       2.171us         0.02%       2.171us       2.171us             1  
                    aten::flatten         0.02%       1.942us         0.06%       6.828us       6.828us             1  
                    aten::reshape         0.01%       1.144us         0.05%       4.886us       4.886us             1  
                       aten::view         0.03%       3.742us         0.03%       3.742us       3.742us             1  
                          aten::t         0.06%       6.372us         0.08%       9.009us       9.009us             1  
                  aten::transpose         0.01%       1.252us         0.02%       2.637us       2.637us             1  
                 aten::as_strided         0.01%       1.385us         0.01%       1.385us       1.385us             1  
                      aten::addmm        16.13%       1.750ms        16.18%       1.755ms       1.755ms             1  
                      aten::empty         0.01%       0.903us         0.01%       0.903us       0.903us             1  
                     aten::expand         0.02%       1.657us         0.02%       2.003us       2.003us             1  
                 aten::as_strided         0.00%       0.346us         0.00%       0.346us       0.346us             1  
                    aten::resize_         0.02%       1.735us         0.02%       1.735us       1.735us             1  
                     aten::stride         0.00%       0.220us         0.00%       0.220us       0.220us             1  
                     aten::stride         0.00%       0.116us         0.00%       0.116us       0.116us             1  
                     aten::stride         0.00%       0.117us         0.00%       0.117us       0.117us             1  
                       aten::relu         0.07%       7.513us         0.19%      20.190us      20.190us             1  
                  aten::threshold         0.09%       9.387us         0.12%      12.677us      12.677us             1  
                      aten::empty         0.03%       3.290us         0.03%       3.290us       3.290us             1  
            aten::feature_dropout         0.05%       5.081us         0.42%      45.991us      45.991us             1  
                      aten::empty         0.03%       3.314us         0.03%       3.314us       3.314us             1  
                 aten::bernoulli_         0.09%       9.431us         0.09%       9.431us       9.431us             1  
                       aten::div_         0.12%      13.292us         0.12%      13.292us      13.292us             1  
                        aten::mul         0.13%      13.670us         0.14%      14.873us      14.873us             1  
                      aten::empty         0.01%       1.203us         0.01%       1.203us       1.203us             1  
                          aten::t         0.04%       4.796us         0.06%       6.877us       6.877us             1  
                  aten::transpose         0.01%       1.017us         0.02%       2.081us       2.081us             1  
                 aten::as_strided         0.01%       1.064us         0.01%       1.064us       1.064us             1  
                      aten::addmm         0.33%      35.356us         0.37%      39.948us      39.948us             1  
                      aten::empty         0.01%       0.942us         0.01%       0.942us       0.942us             1  
                     aten::expand         0.01%       1.011us         0.01%       1.394us       1.394us             1  
                 aten::as_strided         0.00%       0.383us         0.00%       0.383us       0.383us             1  
                    aten::resize_         0.02%       1.697us         0.02%       1.697us       1.697us             1  
                     aten::stride         0.00%       0.268us         0.00%       0.268us       0.268us             1  
                     aten::stride         0.00%       0.144us         0.00%       0.144us       0.144us             1  
                     aten::stride         0.00%       0.147us         0.00%       0.147us       0.147us             1  
                aten::log_softmax         0.06%       6.326us         0.31%      34.021us      34.021us             1  
               aten::_log_softmax         0.22%      23.574us         0.26%      27.695us      27.695us             1  
                 aten::contiguous         0.01%       0.544us         0.01%       0.544us       0.544us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.848ms

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.291654
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.310146
Train Epoch: 1 [1280/60000 (2%)]	Loss: 0.623500
Train Epoch: 1 [1920/60000 (3%)]	Loss: 0.592672
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.373521
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.434801
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.255190
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.254581
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.312548
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.226279
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.457929
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.229983
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.435174
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.162310
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.273579
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.191184
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.367431
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.168207
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.077914
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.071745
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.200265
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.263877
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.204397
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.344412
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.214408
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.225201
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.218608
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.110846
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.135344
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.254578
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.276755
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.169528
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.135304
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.076938
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.208348
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.174273
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.216543
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.168009
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.103648
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.157512
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.403662
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.070401
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.037653
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.222229
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.206887
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.268816
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.164775
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.220816
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.127845
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.056590
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.108394
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.131478
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.095123
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.080120
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.076185
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.072582
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.100504
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.079486
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.052785
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.052645
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.295445
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.126511
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.059346
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.100690
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.200173
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.079799
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.099561
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.055573
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.040023
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.203332
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.147668
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.063747
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.006980
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.153387
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.063729
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.084370
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.320184
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.156670
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.101335
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.084064
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.059297
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.015277
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.121695
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.303897
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.075956
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.174888
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.161072
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.104396
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.022697
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.092340
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.212160
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.063911
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.034555
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.029479
5.024888038635254

Test set: Average loss: 0.0687, Accuracy: 9778/10000 (98%)

0.8209075927734375
Train Epoch: 2 [0/60000 (0%)]	Loss: 0.081385
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.076568
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.037161
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.024873
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.128613
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.008662
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.008911
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.051691
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.050250
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.200034
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.068445
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.020907
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.012762
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.031710
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.028585
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.023706
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.062253
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.043257
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.170323
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.072460
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.097985
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.068300
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.023185
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.099835
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.036980
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.078724
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.055575
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.015212
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.037853
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.048003
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.126736
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.070848
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.017135
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.036293
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.098215
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.080322
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.032121
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.008564
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.203124
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.021603
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.047041
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.024664
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.028121
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.050451
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.056708
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.072329
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.005561
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.014995
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.021505
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.135011
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.051242
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.042186
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.010052
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.032444
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.005645
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.223864
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.047277
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.008962
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.150858
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.014814
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.048282
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.031025
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.116653
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.029255
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.141587
Train Epoch: 2 [41600/60000 (69%)]	Loss: 0.031038
Train Epoch: 2 [42240/60000 (70%)]	Loss: 0.008543
Train Epoch: 2 [42880/60000 (71%)]	Loss: 0.038653
Train Epoch: 2 [43520/60000 (72%)]	Loss: 0.032801
Train Epoch: 2 [44160/60000 (74%)]	Loss: 0.057117
