Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.20%      27.914us         0.23%      32.679us      32.679us      32.768us         0.23%      32.768us      32.768us             1  
                 aten::as_strided         0.03%       4.765us         0.03%       4.765us       4.765us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.08%      12.120us         0.16%      22.403us      22.403us      21.664us         0.15%      21.664us      21.664us             1  
                       aten::view         0.07%      10.283us         0.07%      10.283us      10.283us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.13%      18.363us        83.25%      11.896ms      11.896ms      16.384us         0.11%      12.006ms      12.006ms             1  
                aten::convolution         0.10%      13.733us        83.13%      11.877ms      11.877ms      11.263us         0.08%      11.990ms      11.990ms             1  
               aten::_convolution         0.40%      57.590us        83.03%      11.864ms      11.864ms      44.321us         0.31%      11.979ms      11.979ms             1  
                 aten::contiguous         0.06%       8.775us         0.06%       8.775us       8.775us       8.000us         0.06%       8.000us       8.000us             1  
          aten::cudnn_convolution        81.78%      11.685ms        82.07%      11.727ms      11.727ms      11.905ms        82.72%      11.914ms      11.914ms             1  
                      aten::empty         0.08%      11.458us         0.08%      11.458us      11.458us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.06%       8.393us         0.06%       8.393us       8.393us       6.144us         0.04%       6.144us       6.144us             1  
                    aten::resize_         0.05%       6.656us         0.05%       6.656us       6.656us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.02%       3.247us         0.02%       3.247us       3.247us       3.072us         0.02%       3.072us       3.072us             1  
                    aten::resize_         0.00%       0.599us         0.00%       0.599us       0.599us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.01%       1.311us         0.01%       1.311us       1.311us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.318us         0.00%       0.318us       0.318us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.241us         0.00%       0.241us       0.241us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.269us         0.00%       0.269us       0.269us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.07%       9.720us         0.07%       9.720us       9.720us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.04%       5.593us         0.15%      21.723us      21.723us       2.048us         0.01%       2.048us       2.048us             1  
                       aten::view         0.11%      16.130us         0.11%      16.130us      16.130us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.34%      48.560us         0.34%      48.560us      48.560us      10.239us         0.07%      10.239us      10.239us             1  
