Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.08%       8.517us         0.12%      12.307us      12.307us             1  
                 aten::as_strided         0.04%       3.790us         0.04%       3.790us       3.790us             1  
                    aten::reshape         0.05%       4.777us         0.09%       9.134us       9.134us             1  
                       aten::view         0.04%       4.357us         0.04%       4.357us       4.357us             1  
                     aten::conv2d         0.10%      10.047us        85.22%       8.950ms       8.950ms             1  
                aten::convolution         0.06%       5.791us        85.13%       8.940ms       8.940ms             1  
               aten::_convolution         0.23%      24.582us        85.07%       8.934ms       8.934ms             1  
                 aten::contiguous         0.01%       1.153us         0.01%       1.153us       1.153us             1  
          aten::cudnn_convolution        84.24%       8.847ms        84.40%       8.864ms       8.864ms             1  
                      aten::empty         0.06%       6.029us         0.06%       6.029us       6.029us             1  
                 aten::contiguous         0.00%       0.335us         0.00%       0.335us       0.335us             1  
                    aten::resize_         0.04%       3.927us         0.04%       3.927us       3.927us             1  
                 aten::contiguous         0.00%       0.224us         0.00%       0.224us       0.224us             1  
                    aten::resize_         0.00%       0.212us         0.00%       0.212us       0.212us             1  
                     aten::stride         0.01%       0.925us         0.01%       0.925us       0.925us             1  
                     aten::stride         0.00%       0.165us         0.00%       0.165us       0.165us             1  
                     aten::stride         0.00%       0.118us         0.00%       0.118us       0.118us             1  
                     aten::stride         0.00%       0.121us         0.00%       0.121us       0.121us             1  
                      aten::empty         0.04%       4.500us         0.04%       4.500us       4.500us             1  
                    aten::reshape         0.02%       2.344us         0.13%      13.193us      13.193us             1  
                       aten::view         0.10%      10.849us         0.10%      10.849us      10.849us             1  
                       aten::add_         0.30%      31.467us         0.30%      31.467us      31.467us             1  
                       aten::relu         0.17%      17.429us         0.38%      40.423us      40.423us             1  
                  aten::threshold         0.19%      19.876us         0.22%      22.994us      22.994us             1  
                      aten::empty         0.03%       3.118us         0.03%       3.118us       3.118us             1  
                     aten::conv2d         0.03%       3.025us         1.47%     154.771us     154.771us             1  
                aten::convolution         0.03%       2.876us         1.44%     151.746us     151.746us             1  
               aten::_convolution         0.10%      10.695us         1.42%     148.870us     148.870us             1  
                 aten::contiguous         0.01%       0.692us         0.01%       0.692us       0.692us             1  
          aten::cudnn_convolution         1.08%     113.539us         1.13%     118.164us     118.164us             1  
                      aten::empty         0.02%       1.688us         0.02%       1.688us       1.688us             1  
                 aten::contiguous         0.00%       0.244us         0.00%       0.244us       0.244us             1  
                    aten::resize_         0.01%       0.627us         0.01%       0.627us       0.627us             1  
                 aten::contiguous         0.00%       0.206us         0.00%       0.206us       0.206us             1  
                    aten::resize_         0.00%       0.194us         0.00%       0.194us       0.194us             1  
                     aten::stride         0.00%       0.313us         0.00%       0.313us       0.313us             1  
                     aten::stride         0.00%       0.111us         0.00%       0.111us       0.111us             1  
                     aten::stride         0.00%       0.115us         0.00%       0.115us       0.115us             1  
                     aten::stride         0.00%       0.113us         0.00%       0.113us       0.113us             1  
                      aten::empty         0.01%       1.014us         0.01%       1.014us       1.014us             1  
                    aten::reshape         0.01%       1.303us         0.06%       5.929us       5.929us             1  
                       aten::view         0.04%       4.626us         0.04%       4.626us       4.626us             1  
                       aten::add_         0.13%      13.390us         0.13%      13.390us      13.390us             1  
                       aten::relu         0.04%       4.531us         0.24%      25.522us      25.522us             1  
                  aten::threshold         0.07%       7.342us         0.20%      20.991us      20.991us             1  
                      aten::empty         0.13%      13.649us         0.13%      13.649us      13.649us             1  
                 aten::max_pool2d         0.06%       5.877us         0.38%      40.326us      40.326us             1  
    aten::max_pool2d_with_indices         0.27%      27.888us         0.33%      34.449us      34.449us             1  
                      aten::empty         0.01%       0.824us         0.01%       0.824us       0.824us             1  
                      aten::empty         0.01%       1.470us         0.01%       1.470us       1.470us             1  
                 aten::contiguous         0.01%       0.783us         0.01%       0.783us       0.783us             1  
                     aten::stride         0.00%       0.264us         0.00%       0.264us       0.264us             1  
                     aten::stride         0.00%       0.110us         0.00%       0.110us       0.110us             1  
                     aten::stride         0.00%       0.112us         0.00%       0.112us       0.112us             1  
                     aten::stride         0.00%       0.113us         0.00%       0.113us       0.113us             1  
                    aten::resize_         0.02%       2.215us         0.02%       2.215us       2.215us             1  
                    aten::resize_         0.01%       0.670us         0.01%       0.670us       0.670us             1  
            aten::feature_dropout         0.11%      11.200us         0.80%      84.269us      84.269us             1  
                      aten::empty         0.02%       2.125us         0.02%       2.125us       2.125us             1  
                 aten::bernoulli_         0.18%      18.854us         0.18%      18.854us      18.854us             1  
                       aten::div_         0.27%      28.519us         0.27%      28.519us      28.519us             1  
                        aten::mul         0.21%      22.077us         0.22%      23.571us      23.571us             1  
                      aten::empty         0.01%       1.494us         0.01%       1.494us       1.494us             1  
                    aten::flatten         0.02%       2.209us         0.07%       7.246us       7.246us             1  
                    aten::reshape         0.01%       1.185us         0.05%       5.037us       5.037us             1  
                       aten::view         0.04%       3.852us         0.04%       3.852us       3.852us             1  
                          aten::t         0.07%       7.239us         0.10%      10.086us      10.086us             1  
                  aten::transpose         0.01%       1.420us         0.03%       2.847us       2.847us             1  
                 aten::as_strided         0.01%       1.427us         0.01%       1.427us       1.427us             1  
                      aten::addmm         9.69%       1.018ms         9.74%       1.023ms       1.023ms             1  
                      aten::empty         0.01%       0.864us         0.01%       0.864us       0.864us             1  
                     aten::expand         0.01%       1.421us         0.02%       1.796us       1.796us             1  
                 aten::as_strided         0.00%       0.375us         0.00%       0.375us       0.375us             1  
                    aten::resize_         0.02%       1.845us         0.02%       1.845us       1.845us             1  
                     aten::stride         0.00%       0.309us         0.00%       0.309us       0.309us             1  
                     aten::stride         0.00%       0.147us         0.00%       0.147us       0.147us             1  
                     aten::stride         0.00%       0.111us         0.00%       0.111us       0.111us             1  
                       aten::relu         0.06%       6.183us         0.18%      18.552us      18.552us             1  
                  aten::threshold         0.09%       9.046us         0.12%      12.369us      12.369us             1  
                      aten::empty         0.03%       3.323us         0.03%       3.323us       3.323us             1  
            aten::feature_dropout         0.05%       4.808us         0.42%      44.091us      44.091us             1  
                      aten::empty         0.02%       2.395us         0.02%       2.395us       2.395us             1  
                 aten::bernoulli_         0.09%       9.657us         0.09%       9.657us       9.657us             1  
                       aten::div_         0.13%      13.192us         0.13%      13.192us      13.192us             1  
                        aten::mul         0.12%      12.829us         0.13%      14.039us      14.039us             1  
                      aten::empty         0.01%       1.210us         0.01%       1.210us       1.210us             1  
                          aten::t         0.06%       6.582us         0.08%       8.742us       8.742us             1  
                  aten::transpose         0.01%       1.075us         0.02%       2.160us       2.160us             1  
                 aten::as_strided         0.01%       1.085us         0.01%       1.085us       1.085us             1  
                      aten::addmm         0.32%      33.787us         0.37%      38.999us      38.999us             1  
                      aten::empty         0.01%       0.699us         0.01%       0.699us       0.699us             1  
                     aten::expand         0.01%       1.037us         0.01%       1.388us       1.388us             1  
                 aten::as_strided         0.00%       0.351us         0.00%       0.351us       0.351us             1  
                    aten::resize_         0.02%       1.947us         0.02%       1.947us       1.947us             1  
                     aten::stride         0.00%       0.314us         0.00%       0.314us       0.314us             1  
                     aten::stride         0.00%       0.150us         0.00%       0.150us       0.150us             1  
                     aten::stride         0.01%       0.714us         0.01%       0.714us       0.714us             1  
                aten::log_softmax         0.06%       6.226us         0.33%      34.416us      34.416us             1  
               aten::_log_softmax         0.22%      22.801us         0.27%      28.190us      28.190us             1  
                 aten::contiguous         0.01%       0.539us         0.01%       0.539us       0.539us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.502ms

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.303512
Train Epoch: 1 [160/60000 (0%)]	Loss: 1.922180
Train Epoch: 1 [320/60000 (1%)]	Loss: 1.399837
Train Epoch: 1 [480/60000 (1%)]	Loss: 0.790394
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.221030
Train Epoch: 1 [800/60000 (1%)]	Loss: 0.469742
Train Epoch: 1 [960/60000 (2%)]	Loss: 0.213030
Train Epoch: 1 [1120/60000 (2%)]	Loss: 0.563786
Train Epoch: 1 [1280/60000 (2%)]	Loss: 0.209978
Train Epoch: 1 [1440/60000 (2%)]	Loss: 0.616412
Train Epoch: 1 [1600/60000 (3%)]	Loss: 0.431352
Train Epoch: 1 [1760/60000 (3%)]	Loss: 0.516993
Train Epoch: 1 [1920/60000 (3%)]	Loss: 0.424407
Train Epoch: 1 [2080/60000 (3%)]	Loss: 0.175560
Train Epoch: 1 [2240/60000 (4%)]	Loss: 0.336634
Train Epoch: 1 [2400/60000 (4%)]	Loss: 0.729344
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.539234
Train Epoch: 1 [2720/60000 (5%)]	Loss: 0.690609
Train Epoch: 1 [2880/60000 (5%)]	Loss: 0.353885
Train Epoch: 1 [3040/60000 (5%)]	Loss: 0.423580
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.158855
Train Epoch: 1 [3360/60000 (6%)]	Loss: 0.582635
Train Epoch: 1 [3520/60000 (6%)]	Loss: 0.286926
Train Epoch: 1 [3680/60000 (6%)]	Loss: 0.305816
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.118349
Train Epoch: 1 [4000/60000 (7%)]	Loss: 0.341148
Train Epoch: 1 [4160/60000 (7%)]	Loss: 0.321481
Train Epoch: 1 [4320/60000 (7%)]	Loss: 0.015612
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.134812
Train Epoch: 1 [4640/60000 (8%)]	Loss: 0.365847
Train Epoch: 1 [4800/60000 (8%)]	Loss: 0.064292
Train Epoch: 1 [4960/60000 (8%)]	Loss: 0.649179
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.362772
Train Epoch: 1 [5280/60000 (9%)]	Loss: 0.131321
Train Epoch: 1 [5440/60000 (9%)]	Loss: 0.644749
Train Epoch: 1 [5600/60000 (9%)]	Loss: 0.225501
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.096558
Train Epoch: 1 [5920/60000 (10%)]	Loss: 0.276240
Train Epoch: 1 [6080/60000 (10%)]	Loss: 0.297531
Train Epoch: 1 [6240/60000 (10%)]	Loss: 0.051235
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.543102
Train Epoch: 1 [6560/60000 (11%)]	Loss: 0.292331
Train Epoch: 1 [6720/60000 (11%)]	Loss: 0.631448
Train Epoch: 1 [6880/60000 (11%)]	Loss: 0.031300
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.184735
Train Epoch: 1 [7200/60000 (12%)]	Loss: 0.079085
Train Epoch: 1 [7360/60000 (12%)]	Loss: 0.127592
Train Epoch: 1 [7520/60000 (13%)]	Loss: 0.029191
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.368266
Train Epoch: 1 [7840/60000 (13%)]	Loss: 0.544257
Train Epoch: 1 [8000/60000 (13%)]	Loss: 0.329184
Train Epoch: 1 [8160/60000 (14%)]	Loss: 0.200785
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.025169
Train Epoch: 1 [8480/60000 (14%)]	Loss: 0.228719
Train Epoch: 1 [8640/60000 (14%)]	Loss: 0.062974
Train Epoch: 1 [8800/60000 (15%)]	Loss: 0.399726
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.070581
Train Epoch: 1 [9120/60000 (15%)]	Loss: 0.410231
Train Epoch: 1 [9280/60000 (15%)]	Loss: 0.347202
Train Epoch: 1 [9440/60000 (16%)]	Loss: 0.078001
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.044564
Train Epoch: 1 [9760/60000 (16%)]	Loss: 0.177097
Train Epoch: 1 [9920/60000 (17%)]	Loss: 0.016980
Train Epoch: 1 [10080/60000 (17%)]	Loss: 0.117035
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.226728
Train Epoch: 1 [10400/60000 (17%)]	Loss: 0.008516
Train Epoch: 1 [10560/60000 (18%)]	Loss: 0.211523
Train Epoch: 1 [10720/60000 (18%)]	Loss: 0.121243
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.098847
Train Epoch: 1 [11040/60000 (18%)]	Loss: 0.014523
Train Epoch: 1 [11200/60000 (19%)]	Loss: 0.139880
Train Epoch: 1 [11360/60000 (19%)]	Loss: 0.175633
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.089475
Train Epoch: 1 [11680/60000 (19%)]	Loss: 0.237531
Train Epoch: 1 [11840/60000 (20%)]	Loss: 1.779579
Train Epoch: 1 [12000/60000 (20%)]	Loss: 0.013428
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.001551
Train Epoch: 1 [12320/60000 (21%)]	Loss: 0.141531
Train Epoch: 1 [12480/60000 (21%)]	Loss: 0.132120
Train Epoch: 1 [12640/60000 (21%)]	Loss: 0.338214
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.175787
Train Epoch: 1 [12960/60000 (22%)]	Loss: 0.215855
Train Epoch: 1 [13120/60000 (22%)]	Loss: 0.003493
Train Epoch: 1 [13280/60000 (22%)]	Loss: 0.005166
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.765182
Train Epoch: 1 [13600/60000 (23%)]	Loss: 0.207989
Train Epoch: 1 [13760/60000 (23%)]	Loss: 0.060918
Train Epoch: 1 [13920/60000 (23%)]	Loss: 0.274643
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.111245
Train Epoch: 1 [14240/60000 (24%)]	Loss: 0.212008
Train Epoch: 1 [14400/60000 (24%)]	Loss: 0.036988
Train Epoch: 1 [14560/60000 (24%)]	Loss: 0.110261
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.398338
Train Epoch: 1 [14880/60000 (25%)]	Loss: 0.253753
Train Epoch: 1 [15040/60000 (25%)]	Loss: 0.064418
Train Epoch: 1 [15200/60000 (25%)]	Loss: 0.041873
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.011666
Train Epoch: 1 [15520/60000 (26%)]	Loss: 0.179905
Train Epoch: 1 [15680/60000 (26%)]	Loss: 0.023884
Train Epoch: 1 [15840/60000 (26%)]	Loss: 0.026195
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.018978
Train Epoch: 1 [16160/60000 (27%)]	Loss: 0.066496
Train Epoch: 1 [16320/60000 (27%)]	Loss: 0.092673
Train Epoch: 1 [16480/60000 (27%)]	Loss: 0.060118
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.629940
Train Epoch: 1 [16800/60000 (28%)]	Loss: 0.086404
Train Epoch: 1 [16960/60000 (28%)]	Loss: 0.220109
Train Epoch: 1 [17120/60000 (29%)]	Loss: 0.088881
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.012782
Train Epoch: 1 [17440/60000 (29%)]	Loss: 0.850748
Train Epoch: 1 [17600/60000 (29%)]	Loss: 0.345597
Train Epoch: 1 [17760/60000 (30%)]	Loss: 0.102281
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.040345
Train Epoch: 1 [18080/60000 (30%)]	Loss: 0.412224
Train Epoch: 1 [18240/60000 (30%)]	Loss: 0.171144
Train Epoch: 1 [18400/60000 (31%)]	Loss: 0.095566
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.016908
Train Epoch: 1 [18720/60000 (31%)]	Loss: 0.118842
Train Epoch: 1 [18880/60000 (31%)]	Loss: 0.153519
Train Epoch: 1 [19040/60000 (32%)]	Loss: 0.019474
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.611349
Train Epoch: 1 [19360/60000 (32%)]	Loss: 0.111076
Train Epoch: 1 [19520/60000 (33%)]	Loss: 0.013125
Train Epoch: 1 [19680/60000 (33%)]	Loss: 0.006244
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.061886
Train Epoch: 1 [20000/60000 (33%)]	Loss: 0.179479
Train Epoch: 1 [20160/60000 (34%)]	Loss: 0.534953
Train Epoch: 1 [20320/60000 (34%)]	Loss: 0.271447
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.461844
Train Epoch: 1 [20640/60000 (34%)]	Loss: 0.133110
Train Epoch: 1 [20800/60000 (35%)]	Loss: 0.007975
Train Epoch: 1 [20960/60000 (35%)]	Loss: 0.046230
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.025243
Train Epoch: 1 [21280/60000 (35%)]	Loss: 0.021635
Train Epoch: 1 [21440/60000 (36%)]	Loss: 0.093969
Train Epoch: 1 [21600/60000 (36%)]	Loss: 0.722432
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.072907
Train Epoch: 1 [21920/60000 (37%)]	Loss: 0.119075
Train Epoch: 1 [22080/60000 (37%)]	Loss: 0.019249
Train Epoch: 1 [22240/60000 (37%)]	Loss: 0.275600
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.139149
Train Epoch: 1 [22560/60000 (38%)]	Loss: 0.064917
Train Epoch: 1 [22720/60000 (38%)]	Loss: 0.017845
Train Epoch: 1 [22880/60000 (38%)]	Loss: 0.103107
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.532299
Train Epoch: 1 [23200/60000 (39%)]	Loss: 0.085709
Train Epoch: 1 [23360/60000 (39%)]	Loss: 0.086137
Train Epoch: 1 [23520/60000 (39%)]	Loss: 0.074233
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.190303
Train Epoch: 1 [23840/60000 (40%)]	Loss: 0.207390
Train Epoch: 1 [24000/60000 (40%)]	Loss: 0.081906
Train Epoch: 1 [24160/60000 (40%)]	Loss: 0.049095
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.012301
Train Epoch: 1 [24480/60000 (41%)]	Loss: 0.359197
Train Epoch: 1 [24640/60000 (41%)]	Loss: 0.209598
Train Epoch: 1 [24800/60000 (41%)]	Loss: 0.207571
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.077492
Train Epoch: 1 [25120/60000 (42%)]	Loss: 0.113437
Train Epoch: 1 [25280/60000 (42%)]	Loss: 0.002411
Train Epoch: 1 [25440/60000 (42%)]	Loss: 0.137306
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.403538
Train Epoch: 1 [25760/60000 (43%)]	Loss: 0.026941
Train Epoch: 1 [25920/60000 (43%)]	Loss: 0.001021
Train Epoch: 1 [26080/60000 (43%)]	Loss: 0.263463
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.057830
