Start profiling...
multiconv2d_handin.py:44: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_y=torch.range(y_min,y_max).cuda(0)
multiconv2d_handin.py:46: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_x=torch.range(x_min,x_max).cuda(0)
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.12%      13.126us         0.14%      15.190us      15.190us             1  
                 aten::as_strided         0.02%       2.064us         0.02%       2.064us       2.064us             1  
                    aten::reshape         0.04%       4.138us         0.07%       7.585us       7.585us             1  
                       aten::view         0.03%       3.447us         0.03%       3.447us       3.447us             1  
                    aten::sigmoid         0.29%      31.892us         0.73%      81.350us      81.350us             1  
                      aten::empty         0.01%       1.491us         0.01%       1.491us       1.491us             1  
                    aten::sigmoid         0.34%      37.868us         0.43%      47.967us      47.967us             1  
                    aten::resize_         0.09%      10.099us         0.09%      10.099us      10.099us             1  
                        aten::mul         0.26%      28.944us         0.27%      30.500us      30.500us             1  
                      aten::empty         0.01%       1.556us         0.01%       1.556us       1.556us             1  
                        aten::add         0.23%      25.729us         0.24%      26.874us      26.874us             1  
                      aten::empty         0.01%       1.145us         0.01%       1.145us       1.145us             1  
                        aten::mul         0.11%      12.380us         0.12%      13.568us      13.568us             1  
                      aten::empty         0.01%       1.188us         0.01%       1.188us       1.188us             1  
                        aten::add         0.06%       6.719us         0.15%      16.818us      16.818us             1  
                      aten::empty         0.09%      10.099us         0.09%      10.099us      10.099us             1  
                         aten::to         0.01%       0.591us         0.01%       0.591us       0.591us             1  
                        aten::div         0.18%      19.875us         0.19%      21.061us      21.061us             1  
                      aten::empty         0.01%       1.186us         0.01%       1.186us       1.186us             1  
                      aten::range         0.07%       7.587us         0.16%      17.881us      17.881us             1  
                      aten::empty         0.01%       1.191us         0.01%       1.191us       1.191us             1  
                      aten::range         0.07%       7.841us         0.08%       9.103us       9.103us             1  
                    aten::resize_         0.01%       1.262us         0.01%       1.262us       1.262us             1  
                         aten::to         0.06%       6.203us         0.26%      28.867us      28.867us             1  
              aten::empty_strided         0.06%       6.287us         0.06%       6.287us       6.287us             1  
                      aten::copy_         0.15%      16.377us         0.15%      16.377us      16.377us             1  
                       aten::view         0.03%       3.716us         0.03%       3.716us       3.716us             1  
                     aten::repeat         0.16%      18.045us         0.60%      66.959us      66.959us             1  
                     aten::expand         0.02%       2.069us         0.03%       3.023us       3.023us             1  
                 aten::as_strided         0.01%       0.954us         0.01%       0.954us       0.954us             1  
                      aten::empty         0.02%       2.081us         0.02%       2.081us       2.081us             1  
                      aten::alias         0.02%       1.758us         0.02%       1.758us       1.758us             1  
                     aten::unfold         0.04%       4.815us         0.06%       6.464us       6.464us             1  
                     aten::stride         0.00%       0.231us         0.00%       0.231us       0.231us             1  
                     aten::stride         0.00%       0.143us         0.00%       0.143us       0.143us             1  
                     aten::stride         0.00%       0.172us         0.00%       0.172us       0.172us             1  
                     aten::stride         0.00%       0.124us         0.00%       0.124us       0.124us             1  
                     aten::stride         0.00%       0.118us         0.00%       0.118us       0.118us             1  
                 aten::as_strided         0.01%       0.861us         0.01%       0.861us       0.861us             1  
                     aten::unfold         0.03%       3.195us         0.04%       4.659us       4.659us             1  
                     aten::stride         0.00%       0.120us         0.00%       0.120us       0.120us             1  
                     aten::stride         0.00%       0.119us         0.00%       0.119us       0.119us             1  
                     aten::stride         0.00%       0.133us         0.00%       0.133us       0.133us             1  
                     aten::stride         0.00%       0.134us         0.00%       0.134us       0.134us             1  
                     aten::stride         0.00%       0.120us         0.00%       0.120us       0.120us             1  
                     aten::stride         0.00%       0.120us         0.00%       0.120us       0.120us             1  
                 aten::as_strided         0.01%       0.718us         0.01%       0.718us       0.718us             1  
                     aten::unfold         0.02%       2.581us         0.04%       4.230us       4.230us             1  
                     aten::stride         0.00%       0.124us         0.00%       0.124us       0.124us             1  
                     aten::stride         0.00%       0.117us         0.00%       0.117us       0.117us             1  
                     aten::stride         0.00%       0.118us         0.00%       0.118us       0.118us             1  
                     aten::stride         0.00%       0.120us         0.00%       0.120us       0.120us             1  
                     aten::stride         0.00%       0.118us         0.00%       0.118us       0.118us             1  
                     aten::stride         0.00%       0.118us         0.00%       0.118us       0.118us             1  
                     aten::stride         0.00%       0.556us         0.00%       0.556us       0.556us             1  
                 aten::as_strided         0.00%       0.378us         0.00%       0.378us       0.378us             1  
                     aten::unfold         0.03%       2.830us         0.04%       4.782us       4.782us             1  
                     aten::stride         0.00%       0.123us         0.00%       0.123us       0.123us             1  
                     aten::stride         0.00%       0.122us         0.00%       0.122us       0.122us             1  
                     aten::stride         0.00%       0.117us         0.00%       0.117us       0.117us             1  
                     aten::stride         0.00%       0.119us         0.00%       0.119us       0.119us             1  
                     aten::stride         0.00%       0.119us         0.00%       0.119us       0.119us             1  
                     aten::stride         0.00%       0.120us         0.00%       0.120us       0.120us             1  
                     aten::stride         0.00%       0.120us         0.00%       0.120us       0.120us             1  
                     aten::stride         0.00%       0.121us         0.00%       0.121us       0.121us             1  
                 aten::as_strided         0.01%       0.991us         0.01%       0.991us       0.991us             1  
                  aten::expand_as         0.01%       0.960us         0.03%       2.802us       2.802us             1  
                     aten::expand         0.01%       0.770us         0.02%       1.842us       1.842us             1  
                 aten::as_strided         0.01%       1.072us         0.01%       1.072us       1.072us             1  
                      aten::copy_         0.17%      19.115us         0.17%      19.115us      19.115us             1  
                      aten::range         0.02%       1.712us         0.05%       5.742us       5.742us             1  
                      aten::empty         0.01%       0.891us         0.01%       0.891us       0.891us             1  
                      aten::range         0.02%       2.320us         0.03%       3.139us       3.139us             1  
                    aten::resize_         0.01%       0.819us         0.01%       0.819us       0.819us             1  
                         aten::to         0.01%       1.663us         0.15%      16.170us      16.170us             1  
              aten::empty_strided         0.04%       3.910us         0.04%       3.910us       3.910us             1  
                      aten::copy_         0.10%      10.597us         0.10%      10.597us      10.597us             1  
                       aten::view         0.02%       2.391us         0.02%       2.391us       2.391us             1  
                     aten::repeat         0.06%       6.389us         0.32%      35.694us      35.694us             1  
                     aten::expand         0.01%       0.756us         0.01%       1.232us       1.232us             1  
                 aten::as_strided         0.00%       0.476us         0.00%       0.476us       0.476us             1  
                      aten::empty         0.01%       1.322us         0.01%       1.322us       1.322us             1  
                      aten::alias         0.01%       0.604us         0.01%       0.604us       0.604us             1  
                     aten::unfold         0.02%       2.446us         0.03%       3.664us       3.664us             1  
                     aten::stride         0.00%       0.234us         0.00%       0.234us       0.234us             1  
                     aten::stride         0.00%       0.120us         0.00%       0.120us       0.120us             1  
                     aten::stride         0.00%       0.120us         0.00%       0.120us       0.120us             1  
                     aten::stride         0.00%       0.119us         0.00%       0.119us       0.119us             1  
                     aten::stride         0.00%       0.116us         0.00%       0.116us       0.116us             1  
                 aten::as_strided         0.00%       0.509us         0.00%       0.509us       0.509us             1  
                     aten::unfold         0.03%       2.821us         0.04%       3.991us       3.991us             1  
                     aten::stride         0.00%       0.123us         0.00%       0.123us       0.123us             1  
                     aten::stride         0.00%       0.120us         0.00%       0.120us       0.120us             1  
                     aten::stride         0.00%       0.122us         0.00%       0.122us       0.122us             1  
                     aten::stride         0.00%       0.119us         0.00%       0.119us       0.119us             1  
                     aten::stride         0.00%       0.130us         0.00%       0.130us       0.130us             1  
                     aten::stride         0.00%       0.122us         0.00%       0.122us       0.122us             1  
                 aten::as_strided         0.00%       0.434us         0.00%       0.434us       0.434us             1  
                     aten::unfold         0.03%       3.103us         0.04%       4.651us       4.651us             1  
                     aten::stride         0.00%       0.126us         0.00%       0.126us       0.126us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.129ms

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.305345
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.993038
Train Epoch: 1 [1280/60000 (2%)]	Loss: 1.511900
Train Epoch: 1 [1920/60000 (3%)]	Loss: 1.147280
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.946964
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.816240
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.774111
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.654018
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.752956
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.512164
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.586008
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.514238
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.495134
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.367216
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.638478
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.633845
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.536096
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.438041
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.657261
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.670793
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.385033
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.532655
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.298940
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.570629
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.427623
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.657456
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.465560
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.325641
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.454951
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.657972
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.779441
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.620518
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.413622
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.671274
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.451528
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.403181
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.457818
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.391968
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.330575
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.612744
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.322563
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.513064
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.315986
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.461095
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.422975
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.506326
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.441380
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.431474
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.276679
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.431678
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.261201
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.299673
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.311329
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.218411
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.470415
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.379639
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.289066
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.488988
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.399450
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.507798
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.222318
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.303575
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.242195
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.362815
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.348532
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.430573
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.248888
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.254360
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.310666
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.362241
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.337288
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.277935
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.278808
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.244530
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.172105
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.339995
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.315250
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.237972
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.168166
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.570441
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.426117
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.567127
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.283898
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.211635
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.193811
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.352195
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.564029
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.398327
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.510782
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.698512
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.297228
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.333685
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.303657
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.270396
5.1238627433776855

Test set: Average loss: 0.2058, Accuracy: 9367/10000 (94%)

0.8223459720611572
Train Epoch: 2 [0/60000 (0%)]	Loss: 0.192826
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.552255
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.342910
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.184262
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.250384
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.347217
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.284551
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.303047
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.277918
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.467876
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.213282
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.100048
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.175723
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.275547
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.246071
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.275438
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.256888
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.211765
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.136238
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.270946
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.223684
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.352717
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.152657
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.285306
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.186315
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.282635
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.307754
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.315396
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.228110
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.218662
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.339997
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.560403
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.203616
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.397385
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.257235
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.089532
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.296725
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.171214
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.473551
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.261044
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.237317
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.589159
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.220790
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.317928
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.223905
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.222255
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.242078
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.446150
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.358836
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.428640
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.319816
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.308469
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.285363
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.255043
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.409933
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.491892
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.316134
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.180314
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.298438
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.513436
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.367624
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.170460
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.142521
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.599520
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.263566
