Start profiling...
linear_multiconv2d_handin_cpp.py:25: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_y=torch.range(y_min,y_max).cuda(0)
linear_multiconv2d_handin_cpp.py:27: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_x=torch.range(x_min,x_max).cuda(0)
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.11%      17.215us         0.17%      25.678us      25.678us             1  
                 aten::as_strided         0.06%       8.463us         0.06%       8.463us       8.463us             1  
                    aten::reshape         0.03%       5.189us         0.07%      10.625us      10.625us             1  
                       aten::view         0.04%       5.436us         0.04%       5.436us       5.436us             1  
                    aten::sigmoid         0.23%      34.419us         0.63%      95.575us      95.575us             1  
                      aten::empty         0.01%       2.060us         0.01%       2.060us       2.060us             1  
                    aten::sigmoid         0.31%      46.423us         0.39%      59.096us      59.096us             1  
                    aten::resize_         0.08%      12.673us         0.08%      12.673us      12.673us             1  
                        aten::mul         0.25%      37.100us         0.32%      48.416us      48.416us             1  
                      aten::empty         0.07%      11.316us         0.07%      11.316us      11.316us             1  
                        aten::add         0.19%      28.566us         0.21%      30.978us      30.978us             1  
                      aten::empty         0.02%       2.412us         0.02%       2.412us       2.412us             1  
                        aten::mul         0.11%      17.075us         0.12%      18.781us      18.781us             1  
                      aten::empty         0.01%       1.706us         0.01%       1.706us       1.706us             1  
                        aten::add         0.06%       8.769us         0.07%      10.375us      10.375us             1  
                      aten::empty         0.01%       1.606us         0.01%       1.606us       1.606us             1  
                         aten::to         0.00%       0.739us         0.00%       0.739us       0.739us             1  
                        aten::div         0.15%      23.026us         0.17%      25.319us      25.319us             1  
                      aten::empty         0.02%       2.293us         0.02%       2.293us       2.293us             1  
                      aten::range         0.13%      20.306us         0.21%      32.276us      32.276us             1  
                      aten::empty         0.01%       1.448us         0.01%       1.448us       1.448us             1  
                      aten::range         0.06%       8.913us         0.07%      10.522us      10.522us             1  
                    aten::resize_         0.01%       1.609us         0.01%       1.609us       1.609us             1  
                         aten::to         0.04%       5.975us         0.22%      33.774us      33.774us             1  
              aten::empty_strided         0.05%       6.924us         0.05%       6.924us       6.924us             1  
                      aten::copy_         0.14%      20.875us         0.14%      20.875us      20.875us             1  
                       aten::view         0.03%       4.040us         0.03%       4.040us       4.040us             1  
                     aten::repeat         0.14%      21.846us         0.57%      86.371us      86.371us             1  
                     aten::expand         0.02%       2.726us         0.02%       3.759us       3.759us             1  
                 aten::as_strided         0.01%       1.033us         0.01%       1.033us       1.033us             1  
                      aten::empty         0.02%       2.351us         0.02%       2.351us       2.351us             1  
                      aten::alias         0.01%       1.363us         0.01%       1.363us       1.363us             1  
                     aten::unfold         0.04%       6.325us         0.06%       8.876us       8.876us             1  
                     aten::stride         0.00%       0.288us         0.00%       0.288us       0.288us             1  
                     aten::stride         0.00%       0.206us         0.00%       0.206us       0.206us             1  
                     aten::stride         0.00%       0.148us         0.00%       0.148us       0.148us             1  
                     aten::stride         0.00%       0.151us         0.00%       0.151us       0.151us             1  
                     aten::stride         0.00%       0.140us         0.00%       0.140us       0.140us             1  
                 aten::as_strided         0.01%       1.618us         0.01%       1.618us       1.618us             1  
                     aten::unfold         0.02%       3.636us         0.04%       5.480us       5.480us             1  
                     aten::stride         0.00%       0.142us         0.00%       0.142us       0.142us             1  
                     aten::stride         0.00%       0.138us         0.00%       0.138us       0.138us             1  
                     aten::stride         0.00%       0.151us         0.00%       0.151us       0.151us             1  
                     aten::stride         0.00%       0.143us         0.00%       0.143us       0.143us             1  
                     aten::stride         0.00%       0.142us         0.00%       0.142us       0.142us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                 aten::as_strided         0.01%       0.989us         0.01%       0.989us       0.989us             1  
                     aten::unfold         0.03%       3.829us         0.04%       5.321us       5.321us             1  
                     aten::stride         0.00%       0.141us         0.00%       0.141us       0.141us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                     aten::stride         0.00%       0.141us         0.00%       0.141us       0.141us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                     aten::stride         0.00%       0.149us         0.00%       0.149us       0.149us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                 aten::as_strided         0.00%       0.505us         0.00%       0.505us       0.505us             1  
                     aten::unfold         0.03%       4.358us         0.04%       6.074us       6.074us             1  
                     aten::stride         0.00%       0.193us         0.00%       0.193us       0.193us             1  
                     aten::stride         0.00%       0.148us         0.00%       0.148us       0.148us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                     aten::stride         0.00%       0.142us         0.00%       0.142us       0.142us             1  
                     aten::stride         0.00%       0.142us         0.00%       0.142us       0.142us             1  
                     aten::stride         0.00%       0.141us         0.00%       0.141us       0.141us             1  
                     aten::stride         0.00%       0.138us         0.00%       0.138us       0.138us             1  
                     aten::stride         0.00%       0.150us         0.00%       0.150us       0.150us             1  
                 aten::as_strided         0.00%       0.523us         0.00%       0.523us       0.523us             1  
                  aten::expand_as         0.01%       1.026us         0.02%       2.914us       2.914us             1  
                     aten::expand         0.01%       0.798us         0.01%       1.888us       1.888us             1  
                 aten::as_strided         0.01%       1.090us         0.01%       1.090us       1.090us             1  
                      aten::copy_         0.19%      28.387us         0.19%      28.387us      28.387us             1  
                      aten::range         0.02%       2.658us         0.05%       7.992us       7.992us             1  
                      aten::empty         0.01%       1.094us         0.01%       1.094us       1.094us             1  
                      aten::range         0.02%       3.153us         0.03%       4.240us       4.240us             1  
                    aten::resize_         0.01%       1.087us         0.01%       1.087us       1.087us             1  
                         aten::to         0.01%       2.095us         0.19%      28.563us      28.563us             1  
              aten::empty_strided         0.03%       4.308us         0.03%       4.308us       4.308us             1  
                      aten::copy_         0.15%      22.160us         0.15%      22.160us      22.160us             1  
                       aten::view         0.02%       2.859us         0.02%       2.859us       2.859us             1  
                     aten::repeat         0.11%      16.338us         0.41%      62.256us      62.256us             1  
                     aten::expand         0.01%       1.608us         0.02%       2.440us       2.440us             1  
                 aten::as_strided         0.01%       0.832us         0.01%       0.832us       0.832us             1  
                      aten::empty         0.02%       2.408us         0.02%       2.408us       2.408us             1  
                      aten::alias         0.01%       1.455us         0.01%       1.455us       1.455us             1  
                     aten::unfold         0.03%       4.879us         0.05%       7.131us       7.131us             1  
                     aten::stride         0.00%       0.297us         0.00%       0.297us       0.297us             1  
                     aten::stride         0.00%       0.251us         0.00%       0.251us       0.251us             1  
                     aten::stride         0.00%       0.269us         0.00%       0.269us       0.269us             1  
                     aten::stride         0.00%       0.241us         0.00%       0.241us       0.241us             1  
                     aten::stride         0.00%       0.237us         0.00%       0.237us       0.237us             1  
                 aten::as_strided         0.01%       0.957us         0.01%       0.957us       0.957us             1  
                     aten::unfold         0.03%       4.389us         0.05%       7.446us       7.446us             1  
                     aten::stride         0.00%       0.265us         0.00%       0.265us       0.265us             1  
                     aten::stride         0.00%       0.284us         0.00%       0.284us       0.284us             1  
                     aten::stride         0.01%       1.242us         0.01%       1.242us       1.242us             1  
                     aten::stride         0.00%       0.458us         0.00%       0.458us       0.458us             1  
                     aten::stride         0.00%       0.144us         0.00%       0.144us       0.144us             1  
                     aten::stride         0.00%       0.138us         0.00%       0.138us       0.138us             1  
                 aten::as_strided         0.00%       0.526us         0.00%       0.526us       0.526us             1  
                     aten::unfold         0.03%       3.856us         0.04%       6.362us       6.362us             1  
                     aten::stride         0.00%       0.167us         0.00%       0.167us       0.167us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.093ms

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.348460
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.787336
Train Epoch: 1 [1280/60000 (2%)]	Loss: 1.209442
Train Epoch: 1 [1920/60000 (3%)]	Loss: 0.534130
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.843842
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.729134
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.564013
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.788663
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.656245
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.723990
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.649636
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.463685
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.563165
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.860375
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.358774
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.459819
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.730324
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.789900
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.426448
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.441873
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.407009
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.501260
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.374225
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.392865
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.259895
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.307049
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.330651
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.419900
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.463069
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.254347
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.524675
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.341972
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.301291
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.496855
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.441738
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.531162
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.289298
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.391324
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.332499
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.325635
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.508757
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.471885
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.413673
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.416582
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.457234
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.281819
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.315380
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.287937
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.178449
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.271229
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.319111
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.318767
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.252378
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.230699
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.367636
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.297159
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.381962
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.504657
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.465170
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.185265
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.453070
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.344563
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.388099
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.370957
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.333323
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.369813
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.197246
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.296552
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.315879
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.324807
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.192276
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.352475
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.171584
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.189202
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.335720
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.421052
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.304296
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.165123
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.375745
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.275563
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.269381
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.271012
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.224665
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.235717
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.341382
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.135673
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.201597
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.195175
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.314400
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.267201
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.530103
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.276582
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.329266
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.239852

Test set: Average loss: 0.1918, Accuracy: 9405/10000 (94%)

Train Epoch: 2 [0/60000 (0%)]	Loss: 0.402243
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.332825
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.244295
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.369435
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.299600
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.349689
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.564800
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.194961
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.558750
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.179088
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.260447
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.591532
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.354909
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.135145
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.260482
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.112365
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.208707
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.144335
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.303430
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.371036
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.298211
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.417930
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.450352
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.394634
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.246337
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.401221
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.154314
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.335029
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.157443
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.257631
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.239988
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.164145
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.288182
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.169712
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.147978
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.190186
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.283339
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.476253
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.231203
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.191997
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.514139
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.280594
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.231863
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.180295
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.569556
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.219959
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.333297
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.227906
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.180138
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.258907
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.139085
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.243786
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.302172
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.269250
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.450226
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.431471
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.198198
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.130541
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.190976
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.194932
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.331342
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.221506
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.481909
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.163227
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.204628
