Start profiling...
multiconv2d_handin_cpp.py:26: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_y=torch.range(y_min,y_max).cuda(0)
multiconv2d_handin_cpp.py:28: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_x=torch.range(x_min,x_max).cuda(0)
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.20%      28.930us         0.24%      34.583us      34.583us             1  
                 aten::as_strided         0.04%       5.653us         0.04%       5.653us       5.653us             1  
                    aten::reshape         0.04%       5.760us         0.09%      12.902us      12.902us             1  
                       aten::view         0.05%       7.142us         0.05%       7.142us       7.142us             1  
                    aten::sigmoid         0.37%      54.280us         0.90%     130.973us     130.973us             1  
                      aten::empty         0.02%       2.639us         0.02%       2.639us       2.639us             1  
                    aten::sigmoid         0.43%      62.210us         0.51%      74.054us      74.054us             1  
                    aten::resize_         0.08%      11.844us         0.08%      11.844us      11.844us             1  
                        aten::mul         0.29%      42.783us         0.41%      59.440us      59.440us             1  
                      aten::empty         0.11%      16.657us         0.11%      16.657us      16.657us             1  
                        aten::add         0.26%      38.466us         0.28%      40.171us      40.171us             1  
                      aten::empty         0.01%       1.705us         0.01%       1.705us       1.705us             1  
                        aten::mul         0.09%      13.135us         0.14%      19.922us      19.922us             1  
                      aten::empty         0.05%       6.787us         0.05%       6.787us       6.787us             1  
                        aten::add         0.06%       8.875us         0.08%      10.972us      10.972us             1  
                      aten::empty         0.01%       2.097us         0.01%       2.097us       2.097us             1  
                         aten::to         0.00%       0.709us         0.00%       0.709us       0.709us             1  
                        aten::div         0.16%      23.583us         0.17%      25.247us      25.247us             1  
                      aten::empty         0.01%       1.664us         0.01%       1.664us       1.664us             1  
                      aten::range         0.05%       7.776us         0.13%      18.642us      18.642us             1  
                      aten::empty         0.01%       1.574us         0.01%       1.574us       1.574us             1  
                      aten::range         0.05%       7.626us         0.06%       9.292us       9.292us             1  
                    aten::resize_         0.01%       1.666us         0.01%       1.666us       1.666us             1  
                         aten::to         0.05%       7.118us         0.24%      34.291us      34.291us             1  
              aten::empty_strided         0.05%       6.743us         0.05%       6.743us       6.743us             1  
                      aten::copy_         0.14%      20.430us         0.14%      20.430us      20.430us             1  
                       aten::view         0.03%       4.532us         0.03%       4.532us       4.532us             1  
                     aten::repeat         0.16%      22.566us         0.56%      81.925us      81.925us             1  
                     aten::expand         0.02%       2.417us         0.02%       3.526us       3.526us             1  
                 aten::as_strided         0.01%       1.109us         0.01%       1.109us       1.109us             1  
                      aten::empty         0.02%       3.139us         0.02%       3.139us       3.139us             1  
                      aten::alias         0.01%       1.918us         0.01%       1.918us       1.918us             1  
                     aten::unfold         0.04%       5.773us         0.05%       7.779us       7.779us             1  
                     aten::stride         0.00%       0.343us         0.00%       0.343us       0.343us             1  
                     aten::stride         0.00%       0.147us         0.00%       0.147us       0.147us             1  
                     aten::stride         0.00%       0.148us         0.00%       0.148us       0.148us             1  
                     aten::stride         0.00%       0.166us         0.00%       0.166us       0.166us             1  
                     aten::stride         0.00%       0.147us         0.00%       0.147us       0.147us             1  
                 aten::as_strided         0.01%       1.055us         0.01%       1.055us       1.055us             1  
                     aten::unfold         0.02%       3.107us         0.04%       5.266us       5.266us             1  
                     aten::stride         0.00%       0.145us         0.00%       0.145us       0.145us             1  
                     aten::stride         0.00%       0.142us         0.00%       0.142us       0.142us             1  
                     aten::stride         0.00%       0.146us         0.00%       0.146us       0.146us             1  
                     aten::stride         0.01%       0.730us         0.01%       0.730us       0.730us             1  
                     aten::stride         0.00%       0.189us         0.00%       0.189us       0.189us             1  
                     aten::stride         0.00%       0.146us         0.00%       0.146us       0.146us             1  
                 aten::as_strided         0.00%       0.661us         0.00%       0.661us       0.661us             1  
                     aten::unfold         0.02%       3.329us         0.04%       5.432us       5.432us             1  
                     aten::stride         0.00%       0.144us         0.00%       0.144us       0.144us             1  
                     aten::stride         0.00%       0.142us         0.00%       0.142us       0.142us             1  
                     aten::stride         0.00%       0.147us         0.00%       0.147us       0.147us             1  
                     aten::stride         0.00%       0.147us         0.00%       0.147us       0.147us             1  
                     aten::stride         0.00%       0.146us         0.00%       0.146us       0.146us             1  
                     aten::stride         0.00%       0.149us         0.00%       0.149us       0.149us             1  
                     aten::stride         0.01%       0.787us         0.01%       0.787us       0.787us             1  
                 aten::as_strided         0.00%       0.441us         0.00%       0.441us       0.441us             1  
                     aten::unfold         0.03%       3.810us         0.04%       6.160us       6.160us             1  
                     aten::stride         0.00%       0.144us         0.00%       0.144us       0.144us             1  
                     aten::stride         0.00%       0.144us         0.00%       0.144us       0.144us             1  
                     aten::stride         0.00%       0.147us         0.00%       0.147us       0.147us             1  
                     aten::stride         0.00%       0.140us         0.00%       0.140us       0.140us             1  
                     aten::stride         0.00%       0.147us         0.00%       0.147us       0.147us             1  
                     aten::stride         0.00%       0.160us         0.00%       0.160us       0.160us             1  
                     aten::stride         0.00%       0.150us         0.00%       0.150us       0.150us             1  
                     aten::stride         0.00%       0.145us         0.00%       0.145us       0.145us             1  
                 aten::as_strided         0.01%       1.173us         0.01%       1.173us       1.173us             1  
                  aten::expand_as         0.01%       1.099us         0.02%       3.086us       3.086us             1  
                     aten::expand         0.01%       0.946us         0.01%       1.987us       1.987us             1  
                 aten::as_strided         0.01%       1.041us         0.01%       1.041us       1.041us             1  
                      aten::copy_         0.16%      23.053us         0.16%      23.053us      23.053us             1  
                      aten::range         0.01%       1.874us         0.05%       6.803us       6.803us             1  
                      aten::empty         0.01%       1.051us         0.01%       1.051us       1.051us             1  
                      aten::range         0.02%       2.630us         0.03%       3.878us       3.878us             1  
                    aten::resize_         0.01%       1.248us         0.01%       1.248us       1.248us             1  
                         aten::to         0.01%       2.014us         0.14%      19.985us      19.985us             1  
              aten::empty_strided         0.03%       4.792us         0.03%       4.792us       4.792us             1  
                      aten::copy_         0.09%      13.179us         0.09%      13.179us      13.179us             1  
                       aten::view         0.02%       2.907us         0.02%       2.907us       2.907us             1  
                     aten::repeat         0.06%       8.414us         0.31%      45.441us      45.441us             1  
                     aten::expand         0.01%       0.986us         0.01%       1.653us       1.653us             1  
                 aten::as_strided         0.00%       0.667us         0.00%       0.667us       0.667us             1  
                      aten::empty         0.01%       1.570us         0.01%       1.570us       1.570us             1  
                      aten::alias         0.01%       0.736us         0.01%       0.736us       0.736us             1  
                     aten::unfold         0.03%       3.816us         0.04%       5.153us       5.153us             1  
                     aten::stride         0.00%       0.233us         0.00%       0.233us       0.233us             1  
                     aten::stride         0.00%       0.150us         0.00%       0.150us       0.150us             1  
                     aten::stride         0.00%       0.142us         0.00%       0.142us       0.142us             1  
                     aten::stride         0.00%       0.146us         0.00%       0.146us       0.146us             1  
                     aten::stride         0.00%       0.146us         0.00%       0.146us       0.146us             1  
                 aten::as_strided         0.00%       0.520us         0.00%       0.520us       0.520us             1  
                     aten::unfold         0.03%       3.707us         0.04%       5.181us       5.181us             1  
                     aten::stride         0.00%       0.146us         0.00%       0.146us       0.146us             1  
                     aten::stride         0.00%       0.148us         0.00%       0.148us       0.148us             1  
                     aten::stride         0.00%       0.149us         0.00%       0.149us       0.149us             1  
                     aten::stride         0.00%       0.145us         0.00%       0.145us       0.145us             1  
                     aten::stride         0.00%       0.259us         0.00%       0.259us       0.259us             1  
                     aten::stride         0.00%       0.164us         0.00%       0.164us       0.164us             1  
                 aten::as_strided         0.00%       0.463us         0.00%       0.463us       0.463us             1  
                     aten::unfold         0.03%       4.332us         0.04%       6.174us       6.174us             1  
                     aten::stride         0.00%       0.143us         0.00%       0.143us       0.143us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.527ms

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.305345
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.993038
Train Epoch: 1 [1280/60000 (2%)]	Loss: 1.511900
Train Epoch: 1 [1920/60000 (3%)]	Loss: 1.147280
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.946967
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.816239
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.773966
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.653503
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.752832
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.512358
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.581800
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.514297
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.495441
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.364857
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.635634
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.633744
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.540468
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.432400
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.660901
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.671512
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.385347
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.529969
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.295411
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.568860
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.429641
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.661224
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.462708
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.327485
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.455809
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.647109
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.788459
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.630175
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.414623
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.659936
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.449854
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.393910
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.461228
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.385058
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.335289
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.615911
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.333628
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.513032
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.317761
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.459786
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.431262
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.502781
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.428058
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.433605
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.267005
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.450979
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.275518
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.308758
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.308795
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.206756
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.452778
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.361171
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.293411
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.506746
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.401880
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.501365
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.226201
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.307418
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.237110
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.374993
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.339422
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.433934
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.249860
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.274515
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.283951
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.349180
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.323072
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.289836
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.286311
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.234218
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.176278
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.336485
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.311483
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.235509
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.143307
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.573265
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.426913
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.571363
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.306589
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.195194
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.209984
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.328465
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.542498
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.393930
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.501397
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.707194
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.306310
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.318783
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.285469
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.295730
7.911906480789185

Test set: Average loss: 0.2040, Accuracy: 9371/10000 (94%)

1.0018947124481201
Train Epoch: 2 [0/60000 (0%)]	Loss: 0.194578
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.521686
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.328704
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.174486
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.252379
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.361780
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.277738
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.290206
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.310599
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.455023
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.194153
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.100099
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.188427
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.275498
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.246915
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.280686
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.261505
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.212480
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.140564
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.292575
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.195102
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.366113
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.172435
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.269018
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.195912
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.300610
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.309165
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.299280
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.264787
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.215863
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.342585
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.545588
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.192955
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.413662
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.281166
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.086686
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.288819
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.174041
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.469701
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.253431
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.256659
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.560904
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.230983
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.339697
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.239453
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.226945
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.259564
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.441627
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.349911
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.389786
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.287193
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.298873
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.256787
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.244269
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.390084
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.486743
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.324592
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.159960
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.296938
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.500112
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.342686
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.171003
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.145554
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.584341
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.265676
