Start profiling...
multiconv2d_handin.py:23: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_y=torch.range(y_min,y_max).cuda(0)
multiconv2d_handin.py:25: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_x=torch.range(x_min,x_max).cuda(0)
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.12%      17.057us         0.14%      19.795us      19.795us             1  
                 aten::as_strided         0.02%       2.738us         0.02%       2.738us       2.738us             1  
                    aten::reshape         0.03%       4.898us         0.07%       9.712us       9.712us             1  
                       aten::view         0.03%       4.814us         0.03%       4.814us       4.814us             1  
                    aten::sigmoid         0.22%      31.721us         0.61%      86.953us      86.953us             1  
                      aten::empty         0.01%       1.989us         0.01%       1.989us       1.989us             1  
                    aten::sigmoid         0.32%      45.122us         0.37%      53.243us      53.243us             1  
                    aten::resize_         0.06%       8.121us         0.06%       8.121us       8.121us             1  
                        aten::mul         0.23%      33.428us         0.25%      35.456us      35.456us             1  
                      aten::empty         0.01%       2.028us         0.01%       2.028us       2.028us             1  
                        aten::add         0.20%      28.696us         0.21%      30.238us      30.238us             1  
                      aten::empty         0.01%       1.542us         0.01%       1.542us       1.542us             1  
                        aten::mul         0.09%      12.547us         0.10%      14.094us      14.094us             1  
                      aten::empty         0.01%       1.547us         0.01%       1.547us       1.547us             1  
                        aten::add         0.06%       8.887us         0.12%      17.427us      17.427us             1  
                      aten::empty         0.06%       8.540us         0.06%       8.540us       8.540us             1  
                         aten::to         0.01%       0.741us         0.01%       0.741us       0.741us             1  
                        aten::div         0.17%      24.798us         0.19%      26.441us      26.441us             1  
                      aten::empty         0.01%       1.643us         0.01%       1.643us       1.643us             1  
                      aten::range         0.05%       7.539us         0.13%      19.045us      19.045us             1  
                      aten::empty         0.01%       1.388us         0.01%       1.388us       1.388us             1  
                      aten::range         0.06%       8.522us         0.07%      10.118us      10.118us             1  
                    aten::resize_         0.01%       1.596us         0.01%       1.596us       1.596us             1  
                         aten::to         0.05%       6.636us         0.24%      33.659us      33.659us             1  
              aten::empty_strided         0.04%       6.239us         0.04%       6.239us       6.239us             1  
                      aten::copy_         0.15%      20.784us         0.15%      20.784us      20.784us             1  
                       aten::view         0.03%       4.507us         0.03%       4.507us       4.507us             1  
                     aten::repeat         0.15%      21.476us         0.55%      78.098us      78.098us             1  
                     aten::expand         0.02%       2.222us         0.03%       3.850us       3.850us             1  
                 aten::as_strided         0.01%       1.628us         0.01%       1.628us       1.628us             1  
                      aten::empty         0.01%       2.127us         0.01%       2.127us       2.127us             1  
                      aten::alias         0.01%       1.435us         0.01%       1.435us       1.435us             1  
                     aten::unfold         0.04%       6.234us         0.06%       8.137us       8.137us             1  
                     aten::stride         0.00%       0.312us         0.00%       0.312us       0.312us             1  
                     aten::stride         0.00%       0.142us         0.00%       0.142us       0.142us             1  
                     aten::stride         0.00%       0.138us         0.00%       0.138us       0.138us             1  
                     aten::stride         0.00%       0.148us         0.00%       0.148us       0.148us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                 aten::as_strided         0.01%       1.024us         0.01%       1.024us       1.024us             1  
                     aten::unfold         0.02%       2.879us         0.03%       4.582us       4.582us             1  
                     aten::stride         0.00%       0.188us         0.00%       0.188us       0.188us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                     aten::stride         0.00%       0.135us         0.00%       0.135us       0.135us             1  
                     aten::stride         0.00%       0.141us         0.00%       0.141us       0.141us             1  
                     aten::stride         0.00%       0.138us         0.00%       0.138us       0.138us             1  
                     aten::stride         0.00%       0.143us         0.00%       0.143us       0.143us             1  
                 aten::as_strided         0.01%       0.819us         0.01%       0.819us       0.819us             1  
                     aten::unfold         0.02%       3.190us         0.03%       4.681us       4.681us             1  
                     aten::stride         0.00%       0.189us         0.00%       0.189us       0.189us             1  
                     aten::stride         0.00%       0.140us         0.00%       0.140us       0.140us             1  
                     aten::stride         0.00%       0.142us         0.00%       0.142us       0.142us             1  
                     aten::stride         0.00%       0.151us         0.00%       0.151us       0.151us             1  
                     aten::stride         0.00%       0.143us         0.00%       0.143us       0.143us             1  
                     aten::stride         0.00%       0.142us         0.00%       0.142us       0.142us             1  
                     aten::stride         0.00%       0.135us         0.00%       0.135us       0.135us             1  
                 aten::as_strided         0.00%       0.449us         0.00%       0.449us       0.449us             1  
                     aten::unfold         0.03%       3.762us         0.04%       5.924us       5.924us             1  
                     aten::stride         0.00%       0.138us         0.00%       0.138us       0.138us             1  
                     aten::stride         0.00%       0.670us         0.00%       0.670us       0.670us             1  
                     aten::stride         0.00%       0.223us         0.00%       0.223us       0.223us             1  
                     aten::stride         0.00%       0.143us         0.00%       0.143us       0.143us             1  
                     aten::stride         0.00%       0.140us         0.00%       0.140us       0.140us             1  
                     aten::stride         0.00%       0.133us         0.00%       0.133us       0.133us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                     aten::stride         0.00%       0.138us         0.00%       0.138us       0.138us             1  
                 aten::as_strided         0.00%       0.438us         0.00%       0.438us       0.438us             1  
                  aten::expand_as         0.01%       0.937us         0.02%       3.130us       3.130us             1  
                     aten::expand         0.01%       1.026us         0.02%       2.193us       2.193us             1  
                 aten::as_strided         0.01%       1.167us         0.01%       1.167us       1.167us             1  
                      aten::copy_         0.16%      22.756us         0.16%      22.756us      22.756us             1  
                      aten::range         0.01%       1.880us         0.05%       7.231us       7.231us             1  
                      aten::empty         0.01%       0.926us         0.01%       0.926us       0.926us             1  
                      aten::range         0.02%       3.326us         0.03%       4.425us       4.425us             1  
                    aten::resize_         0.01%       1.099us         0.01%       1.099us       1.099us             1  
                         aten::to         0.01%       1.905us         0.13%      18.370us      18.370us             1  
              aten::empty_strided         0.03%       3.914us         0.03%       3.914us       3.914us             1  
                      aten::copy_         0.09%      12.551us         0.09%      12.551us      12.551us             1  
                       aten::view         0.02%       2.830us         0.02%       2.830us       2.830us             1  
                     aten::repeat         0.06%       7.959us         0.30%      43.251us      43.251us             1  
                     aten::expand         0.01%       1.051us         0.01%       1.723us       1.723us             1  
                 aten::as_strided         0.00%       0.672us         0.00%       0.672us       0.672us             1  
                      aten::empty         0.01%       1.945us         0.01%       1.945us       1.945us             1  
                      aten::alias         0.01%       0.833us         0.01%       0.833us       0.833us             1  
                     aten::unfold         0.02%       3.438us         0.03%       4.861us       4.861us             1  
                     aten::stride         0.00%       0.176us         0.00%       0.176us       0.176us             1  
                     aten::stride         0.00%       0.189us         0.00%       0.189us       0.189us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                     aten::stride         0.00%       0.193us         0.00%       0.193us       0.193us             1  
                 aten::as_strided         0.00%       0.587us         0.00%       0.587us       0.587us             1  
                     aten::unfold         0.02%       2.684us         0.03%       4.019us       4.019us             1  
                     aten::stride         0.00%       0.139us         0.00%       0.139us       0.139us             1  
                     aten::stride         0.00%       0.140us         0.00%       0.140us       0.140us             1  
                     aten::stride         0.00%       0.140us         0.00%       0.140us       0.140us             1  
                     aten::stride         0.00%       0.137us         0.00%       0.137us       0.137us             1  
                     aten::stride         0.00%       0.138us         0.00%       0.138us       0.138us             1  
                     aten::stride         0.00%       0.140us         0.00%       0.140us       0.140us             1  
                 aten::as_strided         0.00%       0.501us         0.00%       0.501us       0.501us             1  
                     aten::unfold         0.03%       3.697us         0.04%       5.600us       5.600us             1  
                     aten::stride         0.00%       0.275us         0.00%       0.275us       0.275us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.276ms

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.305345
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.993038
Train Epoch: 1 [1280/60000 (2%)]	Loss: 1.511900
Train Epoch: 1 [1920/60000 (3%)]	Loss: 1.147280
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.946972
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.816259
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.774032
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.653577
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.752743
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.511870
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.584861
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.515349
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.495234
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.366729
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.636459
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.635066
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.529863
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.438875
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.661173
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.675145
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.382841
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.528995
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.298407
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.575628
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.426282
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.662252
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.471834
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.332823
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.453437
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.652162
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.772019
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.646460
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.414378
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.650718
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.451736
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.387444
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.449953
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.386316
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.331685
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.631113
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.350319
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.525982
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.323070
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.452224
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.428483
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.500919
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.426273
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.442445
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.270448
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.436408
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.251213
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.302621
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.310236
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.231090
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.455162
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.365527
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.298997
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.500568
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.410361
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.516675
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.227373
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.284971
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.232732
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.366538
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.366120
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.420296
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.230853
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.248559
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.295174
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.372453
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.328131
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.275078
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.289432
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.255030
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.159960
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.365363
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.322287
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.237213
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.145195
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.573454
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.425933
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.579589
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.316892
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.190184
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.201546
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.340553
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.511759
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.389435
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.518925
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.728895
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.297712
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.308227
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.301344
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.282043
7.831524610519409

Test set: Average loss: 0.2072, Accuracy: 9365/10000 (94%)

0.9871029853820801
Train Epoch: 2 [0/60000 (0%)]	Loss: 0.166623
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.527541
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.303304
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.197661
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.253136
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.366561
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.292690
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.319058
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.291168
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.441470
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.191396
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.093946
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.178148
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.263886
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.255525
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.269672
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.268433
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.220325
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.141554
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.277998
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.210940
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.382154
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.166331
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.264845
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.186758
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.301286
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.309677
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.337793
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.220494
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.233108
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.350112
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.584914
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.204090
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.440217
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.266621
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.079174
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.291392
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.201081
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.454617
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.249305
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.268336
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.554261
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.221115
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.319685
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.212020
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.223050
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.271050
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.420682
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.387232
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.404504
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.284271
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.306350
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.263873
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.221523
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.384765
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.499520
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.342252
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.181749
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.301544
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.504454
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.377611
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.152094
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.149367
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.583006
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.279313
