Start profiling...
linear_multiconv2d_handin.py:25: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_y=torch.range(y_min,y_max).cuda(0)
linear_multiconv2d_handin.py:27: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  channel0_x=torch.range(x_min,x_max).cuda(0)
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.13%      20.280us         0.17%      26.509us      26.509us             1  
                 aten::as_strided         0.04%       6.229us         0.04%       6.229us       6.229us             1  
                    aten::reshape         0.04%       6.449us         0.08%      13.171us      13.171us             1  
                       aten::view         0.04%       6.722us         0.04%       6.722us       6.722us             1  
                    aten::sigmoid         0.75%     119.011us         2.19%     344.923us     344.923us             1  
                      aten::empty         0.06%       8.854us         0.06%       8.854us       8.854us             1  
                    aten::sigmoid         1.14%     180.429us         1.38%     217.058us     217.058us             1  
                    aten::resize_         0.23%      36.629us         0.23%      36.629us      36.629us             1  
                        aten::mul         0.85%     134.062us         1.20%     188.870us     188.870us             1  
                      aten::empty         0.35%      54.808us         0.35%      54.808us      54.808us             1  
                        aten::add         0.34%      54.343us         0.38%      60.666us      60.666us             1  
                      aten::empty         0.04%       6.323us         0.04%       6.323us       6.323us             1  
                        aten::mul         0.15%      23.147us         0.17%      26.347us      26.347us             1  
                      aten::empty         0.02%       3.200us         0.02%       3.200us       3.200us             1  
                        aten::add         0.09%      14.255us         0.10%      16.240us      16.240us             1  
                      aten::empty         0.01%       1.985us         0.01%       1.985us       1.985us             1  
                         aten::to         0.01%       1.541us         0.01%       1.541us       1.541us             1  
                        aten::div         0.23%      35.768us         0.24%      37.947us      37.947us             1  
                      aten::empty         0.01%       2.179us         0.01%       2.179us       2.179us             1  
                      aten::range         0.07%      10.850us         0.17%      26.230us      26.230us             1  
                      aten::empty         0.01%       1.976us         0.01%       1.976us       1.976us             1  
                      aten::range         0.07%      10.992us         0.09%      13.404us      13.404us             1  
                    aten::resize_         0.02%       2.412us         0.02%       2.412us       2.412us             1  
                         aten::to         0.05%       7.495us         0.25%      39.072us      39.072us             1  
              aten::empty_strided         0.05%       7.690us         0.05%       7.690us       7.690us             1  
                      aten::copy_         0.15%      23.887us         0.15%      23.887us      23.887us             1  
                       aten::view         0.03%       5.400us         0.03%       5.400us       5.400us             1  
                     aten::repeat         0.21%      33.128us         0.69%     108.216us     108.216us             1  
                     aten::expand         0.02%       3.046us         0.03%       5.165us       5.165us             1  
                 aten::as_strided         0.01%       2.119us         0.01%       2.119us       2.119us             1  
                      aten::empty         0.02%       3.017us         0.02%       3.017us       3.017us             1  
                      aten::alias         0.01%       1.599us         0.01%       1.599us       1.599us             1  
                     aten::unfold         0.05%       7.265us         0.06%       9.876us       9.876us             1  
                     aten::stride         0.00%       0.486us         0.00%       0.486us       0.486us             1  
                     aten::stride         0.00%       0.180us         0.00%       0.180us       0.180us             1  
                     aten::stride         0.00%       0.184us         0.00%       0.184us       0.184us             1  
                     aten::stride         0.00%       0.243us         0.00%       0.243us       0.243us             1  
                     aten::stride         0.00%       0.184us         0.00%       0.184us       0.184us             1  
                 aten::as_strided         0.01%       1.334us         0.01%       1.334us       1.334us             1  
                     aten::unfold         0.02%       3.845us         0.04%       6.775us       6.775us             1  
                     aten::stride         0.01%       0.970us         0.01%       0.970us       0.970us             1  
                     aten::stride         0.00%       0.193us         0.00%       0.193us       0.193us             1  
                     aten::stride         0.00%       0.183us         0.00%       0.183us       0.183us             1  
                     aten::stride         0.00%       0.184us         0.00%       0.184us       0.184us             1  
                     aten::stride         0.00%       0.176us         0.00%       0.176us       0.176us             1  
                     aten::stride         0.00%       0.187us         0.00%       0.187us       0.187us             1  
                 aten::as_strided         0.01%       1.037us         0.01%       1.037us       1.037us             1  
                     aten::unfold         0.03%       4.153us         0.04%       6.843us       6.843us             1  
                     aten::stride         0.00%       0.179us         0.00%       0.179us       0.179us             1  
                     aten::stride         0.00%       0.192us         0.00%       0.192us       0.192us             1  
                     aten::stride         0.00%       0.187us         0.00%       0.187us       0.187us             1  
                     aten::stride         0.01%       0.975us         0.01%       0.975us       0.975us             1  
                     aten::stride         0.00%       0.184us         0.00%       0.184us       0.184us             1  
                     aten::stride         0.00%       0.186us         0.00%       0.186us       0.186us             1  
                     aten::stride         0.00%       0.185us         0.00%       0.185us       0.185us             1  
                 aten::as_strided         0.00%       0.602us         0.00%       0.602us       0.602us             1  
                     aten::unfold         0.03%       4.667us         0.05%       7.587us       7.587us             1  
                     aten::stride         0.00%       0.181us         0.00%       0.181us       0.181us             1  
                     aten::stride         0.00%       0.185us         0.00%       0.185us       0.185us             1  
                     aten::stride         0.00%       0.187us         0.00%       0.187us       0.187us             1  
                     aten::stride         0.00%       0.189us         0.00%       0.189us       0.189us             1  
                     aten::stride         0.00%       0.190us         0.00%       0.190us       0.190us             1  
                     aten::stride         0.01%       0.908us         0.01%       0.908us       0.908us             1  
                     aten::stride         0.00%       0.206us         0.00%       0.206us       0.206us             1  
                     aten::stride         0.00%       0.183us         0.00%       0.183us       0.183us             1  
                 aten::as_strided         0.00%       0.691us         0.00%       0.691us       0.691us             1  
                  aten::expand_as         0.01%       1.334us         0.03%       5.407us       5.407us             1  
                     aten::expand         0.01%       1.990us         0.03%       4.073us       4.073us             1  
                 aten::as_strided         0.01%       2.083us         0.01%       2.083us       2.083us             1  
                      aten::copy_         0.18%      28.819us         0.18%      28.819us      28.819us             1  
                      aten::range         0.02%       2.429us         0.06%      10.221us      10.221us             1  
                      aten::empty         0.01%       1.193us         0.01%       1.193us       1.193us             1  
                      aten::range         0.03%       4.228us         0.04%       6.599us       6.599us             1  
                    aten::resize_         0.02%       2.371us         0.02%       2.371us       2.371us             1  
                         aten::to         0.02%       2.518us         0.14%      22.653us      22.653us             1  
              aten::empty_strided         0.03%       5.173us         0.03%       5.173us       5.173us             1  
                      aten::copy_         0.09%      14.962us         0.09%      14.962us      14.962us             1  
                       aten::view         0.02%       3.477us         0.02%       3.477us       3.477us             1  
                     aten::repeat         0.06%       9.439us         0.36%      56.300us      56.300us             1  
                     aten::expand         0.01%       2.289us         0.02%       3.148us       3.148us             1  
                 aten::as_strided         0.01%       0.859us         0.01%       0.859us       0.859us             1  
                      aten::empty         0.01%       2.149us         0.01%       2.149us       2.149us             1  
                      aten::alias         0.01%       1.093us         0.01%       1.093us       1.093us             1  
                     aten::unfold         0.02%       3.642us         0.03%       5.461us       5.461us             1  
                     aten::stride         0.00%       0.273us         0.00%       0.273us       0.273us             1  
                     aten::stride         0.00%       0.207us         0.00%       0.207us       0.207us             1  
                     aten::stride         0.00%       0.190us         0.00%       0.190us       0.190us             1  
                     aten::stride         0.00%       0.185us         0.00%       0.185us       0.185us             1  
                     aten::stride         0.00%       0.179us         0.00%       0.179us       0.179us             1  
                 aten::as_strided         0.00%       0.785us         0.00%       0.785us       0.785us             1  
                     aten::unfold         0.03%       4.567us         0.04%       6.285us       6.285us             1  
                     aten::stride         0.00%       0.184us         0.00%       0.184us       0.184us             1  
                     aten::stride         0.00%       0.194us         0.00%       0.194us       0.194us             1  
                     aten::stride         0.00%       0.191us         0.00%       0.191us       0.191us             1  
                     aten::stride         0.00%       0.191us         0.00%       0.191us       0.191us             1  
                     aten::stride         0.00%       0.187us         0.00%       0.187us       0.187us             1  
                     aten::stride         0.00%       0.184us         0.00%       0.184us       0.184us             1  
                 aten::as_strided         0.00%       0.587us         0.00%       0.587us       0.587us             1  
                     aten::unfold         0.03%       4.271us         0.05%       7.257us       7.257us             1  
                     aten::stride         0.00%       0.185us         0.00%       0.185us       0.185us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.768ms

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.348460
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.787336
Train Epoch: 1 [1280/60000 (2%)]	Loss: 1.209434
Train Epoch: 1 [1920/60000 (3%)]	Loss: 0.534115
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.843797
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.730115
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.559576
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.792370
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.657323
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.715959
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.654905
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.457126
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.581853
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.870273
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.373669
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.468044
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.734361
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.778528
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.436233
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.432254
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.420270
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.492831
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.395477
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.384893
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.254768
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.321639
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.332627
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.431954
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.469780
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.282161
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.530841
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.342448
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.326648
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.478810
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.424733
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.528006
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.294580
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.415992
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.333541
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.355017
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.535489
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.458599
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.416931
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.407376
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.450690
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.278422
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.292096
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.328121
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.187959
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.280918
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.345126
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.348645
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.238657
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.254044
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.392223
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.283311
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.334437
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.535982
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.458737
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.190350
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.439055
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.336680
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.388323
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.394823
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.344010
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.390034
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.203103
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.303856
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.306101
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.332524
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.187668
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.341274
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.167203
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.173917
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.335401
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.446266
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.296720
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.149732
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.403602
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.262037
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.276799
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.255470
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.239328
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.230703
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.382527
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.163862
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.197317
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.202843
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.290963
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.296987
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.485918
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.288624
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.359630
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.233268

Test set: Average loss: 0.1941, Accuracy: 9395/10000 (94%)

Train Epoch: 2 [0/60000 (0%)]	Loss: 0.432369
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.322687
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.246218
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.343085
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.273708
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.347751
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.542257
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.229392
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.571698
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.175443
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.279621
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.551931
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.355674
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.141662
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.254617
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.126036
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.204199
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.141775
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.301721
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.357146
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.287284
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.397454
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.475729
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.392971
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.287880
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.353256
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.167571
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.331817
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.162631
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.257398
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.258103
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.147363
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.289195
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.182412
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.195660
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.191031
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.275588
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.488190
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.237837
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.191660
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.503048
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.279866
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.227960
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.155621
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.569150
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.211234
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.337799
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.229041
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.199625
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.279833
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.138721
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.257914
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.275187
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.256962
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.403609
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.461204
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.178076
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.128781
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.214017
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.203106
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.336682
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.244172
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.487575
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.184457
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.201211
