Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.11%      11.583us         0.14%      14.400us      14.400us             1  
                 aten::as_strided         0.03%       2.817us         0.03%       2.817us       2.817us             1  
                    aten::reshape         0.04%       4.474us         0.09%       9.989us       9.989us             1  
                       aten::view         0.05%       5.515us         0.05%       5.515us       5.515us             1  
                     aten::conv2d         0.08%       8.256us        84.25%       8.869ms       8.869ms             1  
                aten::convolution         0.07%       6.944us        84.17%       8.861ms       8.861ms             1  
               aten::_convolution         0.27%      28.165us        84.11%       8.854ms       8.854ms             1  
                 aten::contiguous         0.02%       1.841us         0.02%       1.841us       1.841us             1  
          aten::cudnn_convolution        83.24%       8.763ms        83.40%       8.779ms       8.779ms             1  
                      aten::empty         0.04%       4.527us         0.04%       4.527us       4.527us             1  
                 aten::contiguous         0.00%       0.422us         0.00%       0.422us       0.422us             1  
                    aten::resize_         0.05%       5.271us         0.05%       5.271us       5.271us             1  
                 aten::contiguous         0.00%       0.262us         0.00%       0.262us       0.262us             1  
                    aten::resize_         0.00%       0.197us         0.00%       0.197us       0.197us             1  
                     aten::stride         0.01%       0.690us         0.01%       0.690us       0.690us             1  
                     aten::stride         0.00%       0.193us         0.00%       0.193us       0.193us             1  
                     aten::stride         0.00%       0.121us         0.00%       0.121us       0.121us             1  
                     aten::stride         0.00%       0.116us         0.00%       0.116us       0.116us             1  
                      aten::empty         0.04%       4.575us         0.04%       4.575us       4.575us             1  
                    aten::reshape         0.02%       1.777us         0.12%      12.192us      12.192us             1  
                       aten::view         0.10%      10.415us         0.10%      10.415us      10.415us             1  
                       aten::add_         0.31%      32.137us         0.31%      32.137us      32.137us             1  
                       aten::relu         0.14%      14.676us         0.50%      52.463us      52.463us             1  
                  aten::threshold         0.19%      20.153us         0.36%      37.787us      37.787us             1  
                      aten::empty         0.17%      17.634us         0.17%      17.634us      17.634us             1  
                     aten::conv2d         0.02%       2.177us         1.46%     153.207us     153.207us             1  
                aten::convolution         0.03%       2.781us         1.43%     151.030us     151.030us             1  
               aten::_convolution         0.09%       9.530us         1.41%     148.249us     148.249us             1  
                 aten::contiguous         0.01%       0.809us         0.01%       0.809us       0.809us             1  
          aten::cudnn_convolution         1.09%     115.075us         1.15%     120.613us     120.613us             1  
                      aten::empty         0.02%       2.550us         0.02%       2.550us       2.550us             1  
                 aten::contiguous         0.00%       0.330us         0.00%       0.330us       0.330us             1  
                    aten::resize_         0.00%       0.497us         0.00%       0.497us       0.497us             1  
                 aten::contiguous         0.00%       0.240us         0.00%       0.240us       0.240us             1  
                    aten::resize_         0.00%       0.179us         0.00%       0.179us       0.179us             1  
                     aten::stride         0.00%       0.373us         0.00%       0.373us       0.373us             1  
                     aten::stride         0.00%       0.118us         0.00%       0.118us       0.118us             1  
                     aten::stride         0.00%       0.112us         0.00%       0.112us       0.112us             1  
                     aten::stride         0.00%       0.112us         0.00%       0.112us       0.112us             1  
                      aten::empty         0.01%       1.027us         0.01%       1.027us       1.027us             1  
                    aten::reshape         0.01%       1.383us         0.06%       6.045us       6.045us             1  
                       aten::view         0.04%       4.662us         0.04%       4.662us       4.662us             1  
                       aten::add_         0.11%      11.252us         0.11%      11.252us      11.252us             1  
                       aten::relu         0.04%       4.450us         0.12%      12.775us      12.775us             1  
                  aten::threshold         0.06%       6.498us         0.08%       8.325us       8.325us             1  
                      aten::empty         0.02%       1.827us         0.02%       1.827us       1.827us             1  
                 aten::max_pool2d         0.06%       6.527us         0.41%      43.434us      43.434us             1  
    aten::max_pool2d_with_indices         0.30%      31.175us         0.35%      36.907us      36.907us             1  
                      aten::empty         0.01%       0.995us         0.01%       0.995us       0.995us             1  
                      aten::empty         0.00%       0.485us         0.00%       0.485us       0.485us             1  
                 aten::contiguous         0.00%       0.497us         0.00%       0.497us       0.497us             1  
                     aten::stride         0.00%       0.286us         0.00%       0.286us       0.286us             1  
                     aten::stride         0.00%       0.129us         0.00%       0.129us       0.129us             1  
                     aten::stride         0.00%       0.109us         0.00%       0.109us       0.109us             1  
                     aten::stride         0.00%       0.112us         0.00%       0.112us       0.112us             1  
                    aten::resize_         0.02%       2.291us         0.02%       2.291us       2.291us             1  
                    aten::resize_         0.01%       0.828us         0.01%       0.828us       0.828us             1  
            aten::feature_dropout         0.14%      14.751us         0.83%      87.449us      87.449us             1  
                      aten::empty         0.02%       2.276us         0.02%       2.276us       2.276us             1  
                 aten::bernoulli_         0.18%      19.176us         0.18%      19.176us      19.176us             1  
                       aten::div_         0.26%      27.212us         0.26%      27.212us      27.212us             1  
                        aten::mul         0.21%      21.781us         0.23%      24.034us      24.034us             1  
                      aten::empty         0.02%       2.253us         0.02%       2.253us       2.253us             1  
                    aten::flatten         0.02%       2.530us         0.08%       8.007us       8.007us             1  
                    aten::reshape         0.02%       1.739us         0.05%       5.477us       5.477us             1  
                       aten::view         0.04%       3.738us         0.04%       3.738us       3.738us             1  
                      My_function         0.42%      44.031us        10.83%       1.140ms       1.140ms             1  
                  aten::transpose         0.04%       3.754us         0.05%       5.443us       5.443us             1  
                 aten::as_strided         0.02%       1.689us         0.02%       1.689us       1.689us             1  
                         aten::mm        10.33%       1.088ms        10.36%       1.090ms       1.090ms             1  
                      aten::empty         0.02%       1.656us         0.02%       1.656us       1.656us             1  
                     aten::stride         0.00%       0.266us         0.00%       0.266us       0.266us             1  
                     aten::stride         0.00%       0.205us         0.00%       0.205us       0.205us             1  
                     aten::stride         0.00%       0.133us         0.00%       0.133us       0.133us             1  
                       aten::relu         0.06%       5.986us         0.17%      17.832us      17.832us             1  
                  aten::threshold         0.08%       8.834us         0.11%      11.846us      11.846us             1  
                      aten::empty         0.03%       3.012us         0.03%       3.012us       3.012us             1  
            aten::feature_dropout         0.05%       5.295us         0.42%      43.835us      43.835us             1  
                      aten::empty         0.02%       1.944us         0.02%       1.944us       1.944us             1  
                 aten::bernoulli_         0.10%      10.480us         0.10%      10.480us      10.480us             1  
                       aten::div_         0.13%      13.647us         0.13%      13.647us      13.647us             1  
                        aten::mul         0.11%      11.055us         0.12%      12.469us      12.469us             1  
                      aten::empty         0.01%       1.414us         0.01%       1.414us       1.414us             1  
                      My_function         0.15%      15.973us         0.39%      40.598us      40.598us             1  
                  aten::transpose         0.03%       2.688us         0.04%       3.713us       3.713us             1  
                 aten::as_strided         0.01%       1.025us         0.01%       1.025us       1.025us             1  
                         aten::mm         0.18%      19.086us         0.20%      20.912us      20.912us             1  
                      aten::empty         0.01%       1.216us         0.01%       1.216us       1.216us             1  
                     aten::stride         0.00%       0.338us         0.00%       0.338us       0.338us             1  
                     aten::stride         0.00%       0.144us         0.00%       0.144us       0.144us             1  
                     aten::stride         0.00%       0.128us         0.00%       0.128us       0.128us             1  
                aten::log_softmax         0.07%       6.975us         0.33%      34.479us      34.479us             1  
               aten::_log_softmax         0.22%      22.928us         0.26%      27.504us      27.504us             1  
                 aten::contiguous         0.00%       0.440us         0.00%       0.440us       0.440us             1  
                 aten::empty_like         0.02%       2.406us         0.04%       4.136us       4.136us             1  
                      aten::empty         0.02%       1.730us         0.02%       1.730us       1.730us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.527ms

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 4.932843
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.278354
Train Epoch: 1 [1280/60000 (2%)]	Loss: 0.873219
Train Epoch: 1 [1920/60000 (3%)]	Loss: 0.931892
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.567730
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.573026
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.527971
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.544560
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.464748
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.191576
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.296584
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.424256
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.468485
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.166261
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.144536
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.156216
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.237007
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.222654
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.218474
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.135166
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.396688
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.225824
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.222167
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.242593
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.265061
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.365594
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.418943
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.097118
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.306977
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.073015
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.226366
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.114793
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.376583
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.165409
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.100687
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.133206
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.212531
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.203522
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.336858
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.371438
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.300328
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.169254
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.209803
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.287676
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.439388
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.129065
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.138116
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.078020
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.086736
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.144903
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.127914
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.381709
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.323815
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.266092
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.071174
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.141028
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.138982
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.502184
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.222760
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.069851
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.115238
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.074780
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.119830
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.225199
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.126322
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.142215
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.100422
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.071870
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.062562
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.083256
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.190363
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.040390
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.038398
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.139248
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.167861
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.206837
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.090057
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.126135
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.177333
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.130733
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.106500
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.233979
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.149867
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.308210
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.234295
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.142378
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.092456
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.077310
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.344374
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.025873
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.189458
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.177463
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.040505
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.055527

Test set: Average loss: 0.0514, Accuracy: 9830/10000 (98%)

Train Epoch: 2 [0/60000 (0%)]	Loss: 0.346514
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.111518
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.213832
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.163606
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.204757
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.110901
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.073393
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.074742
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.182458
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.043104
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.162910
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.038173
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.028538
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.098616
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.125847
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.083209
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.143174
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.060426
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.144573
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.072329
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.067325
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.061774
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.010715
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.051484
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.140642
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.085248
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.039654
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.097812
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.175834
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.044261
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.028854
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.030661
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.055447
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.068622
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.089222
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.053633
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.196690
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.058798
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.161366
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.130618
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.237950
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.007856
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.083853
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.163976
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.173470
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.067200
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.081398
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.032774
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.220811
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.046829
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.093047
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.102979
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.076759
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.139174
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.044605
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.066120
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.055620
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.099856
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.022642
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.133756
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.048107
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.168819
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.012364
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.075694
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.113988
Train Epoch: 2 [41600/60000 (69%)]	Loss: 0.124249
Train Epoch: 2 [42240/60000 (70%)]	Loss: 0.027353
Train Epoch: 2 [42880/60000 (71%)]	Loss: 0.053177
Train Epoch: 2 [43520/60000 (72%)]	Loss: 0.100561
Train Epoch: 2 [44160/60000 (74%)]	Loss: 0.069595
Train Epoch: 2 [44800/60000 (75%)]	Loss: 0.155606
Train Epoch: 2 [45440/60000 (76%)]	Loss: 0.025309
Train Epoch: 2 [46080/60000 (77%)]	Loss: 0.042290
Train Epoch: 2 [46720/60000 (78%)]	Loss: 0.161285
Train Epoch: 2 [47360/60000 (79%)]	Loss: 0.285366
