Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.07%       7.775us         0.09%       9.674us       9.674us             1  
                 aten::as_strided         0.02%       1.899us         0.02%       1.899us       1.899us             1  
                    aten::reshape         0.04%       3.909us         0.08%       8.224us       8.224us             1  
                       aten::view         0.04%       4.315us         0.04%       4.315us       4.315us             1  
                     aten::conv2d         0.06%       6.423us        84.00%       8.814ms       8.814ms             1  
                aten::convolution         0.05%       5.611us        83.94%       8.807ms       8.807ms             1  
               aten::_convolution         0.24%      25.306us        83.89%       8.802ms       8.802ms             1  
                 aten::contiguous         0.01%       1.501us         0.01%       1.501us       1.501us             1  
          aten::cudnn_convolution        82.93%       8.702ms        83.10%       8.719ms       8.719ms             1  
                      aten::empty         0.05%       5.422us         0.05%       5.422us       5.422us             1  
                 aten::contiguous         0.00%       0.331us         0.00%       0.331us       0.331us             1  
                    aten::resize_         0.03%       3.380us         0.03%       3.380us       3.380us             1  
                 aten::contiguous         0.00%       0.258us         0.00%       0.258us       0.258us             1  
                    aten::resize_         0.00%       0.222us         0.00%       0.222us       0.222us             1  
                     aten::stride         0.01%       0.827us         0.01%       0.827us       0.827us             1  
                     aten::stride         0.00%       0.238us         0.00%       0.238us       0.238us             1  
                     aten::stride         0.00%       0.133us         0.00%       0.133us       0.133us             1  
                     aten::stride         0.00%       0.170us         0.00%       0.170us       0.170us             1  
                      aten::empty         0.06%       6.303us         0.06%       6.303us       6.303us             1  
                    aten::reshape         0.03%       2.916us         0.13%      14.022us      14.022us             1  
                       aten::view         0.11%      11.106us         0.11%      11.106us      11.106us             1  
                       aten::add_         0.40%      41.804us         0.40%      41.804us      41.804us             1  
                       aten::relu         0.16%      16.878us         0.45%      47.115us      47.115us             1  
                  aten::threshold         0.25%      25.984us         0.29%      30.237us      30.237us             1  
                      aten::empty         0.04%       4.253us         0.04%       4.253us       4.253us             1  
                     aten::conv2d         0.02%       1.854us         1.59%     166.603us     166.603us             1  
                aten::convolution         0.03%       3.461us         1.57%     164.749us     164.749us             1  
               aten::_convolution         0.10%      10.994us         1.54%     161.288us     161.288us             1  
                 aten::contiguous         0.01%       0.898us         0.01%       0.898us       0.898us             1  
          aten::cudnn_convolution         1.14%     119.993us         1.22%     127.925us     127.925us             1  
                      aten::empty         0.04%       3.964us         0.04%       3.964us       3.964us             1  
                 aten::contiguous         0.00%       0.317us         0.00%       0.317us       0.317us             1  
                    aten::resize_         0.01%       0.938us         0.01%       0.938us       0.938us             1  
                 aten::contiguous         0.01%       0.798us         0.01%       0.798us       0.798us             1  
                    aten::resize_         0.00%       0.172us         0.00%       0.172us       0.172us             1  
                     aten::stride         0.00%       0.268us         0.00%       0.268us       0.268us             1  
                     aten::stride         0.00%       0.154us         0.00%       0.154us       0.154us             1  
                     aten::stride         0.00%       0.152us         0.00%       0.152us       0.152us             1  
                     aten::stride         0.00%       0.154us         0.00%       0.154us       0.154us             1  
                      aten::empty         0.01%       1.015us         0.01%       1.015us       1.015us             1  
                    aten::reshape         0.01%       1.319us         0.08%       8.066us       8.066us             1  
                       aten::view         0.06%       6.747us         0.06%       6.747us       6.747us             1  
                       aten::add_         0.13%      13.405us         0.13%      13.405us      13.405us             1  
                       aten::relu         0.04%       4.371us         0.25%      25.723us      25.723us             1  
                  aten::threshold         0.08%       7.930us         0.20%      21.352us      21.352us             1  
                      aten::empty         0.13%      13.422us         0.13%      13.422us      13.422us             1  
                 aten::max_pool2d         0.05%       5.727us         0.36%      37.577us      37.577us             1  
    aten::max_pool2d_with_indices         0.25%      25.926us         0.30%      31.850us      31.850us             1  
                      aten::empty         0.01%       0.862us         0.01%       0.862us       0.862us             1  
                      aten::empty         0.00%       0.452us         0.00%       0.452us       0.452us             1  
                 aten::contiguous         0.01%       1.030us         0.01%       1.030us       1.030us             1  
                     aten::stride         0.00%       0.152us         0.00%       0.152us       0.152us             1  
                     aten::stride         0.00%       0.126us         0.00%       0.126us       0.126us             1  
                     aten::stride         0.00%       0.114us         0.00%       0.114us       0.114us             1  
                     aten::stride         0.00%       0.114us         0.00%       0.114us       0.114us             1  
                    aten::resize_         0.02%       2.389us         0.02%       2.389us       2.389us             1  
                    aten::resize_         0.01%       0.685us         0.01%       0.685us       0.685us             1  
            aten::feature_dropout         0.11%      11.732us         0.77%      80.400us      80.400us             1  
                      aten::empty         0.02%       2.350us         0.02%       2.350us       2.350us             1  
                 aten::bernoulli_         0.17%      18.121us         0.17%      18.121us      18.121us             1  
                       aten::div_         0.24%      25.265us         0.24%      25.265us      25.265us             1  
                        aten::mul         0.20%      21.484us         0.22%      22.932us      22.932us             1  
                      aten::empty         0.01%       1.448us         0.01%       1.448us       1.448us             1  
                    aten::flatten         0.03%       2.737us         0.07%       7.645us       7.645us             1  
                    aten::reshape         0.01%       1.133us         0.05%       4.908us       4.908us             1  
                       aten::view         0.04%       3.775us         0.04%       3.775us       3.775us             1  
                      My_function         0.59%      61.835us        10.99%       1.153ms       1.153ms             1  
                    aten::numpy_T         0.03%       2.980us         0.09%       9.029us       9.029us             1  
                    aten::permute         0.04%       4.708us         0.06%       6.049us       6.049us             1  
                 aten::as_strided         0.01%       1.341us         0.01%       1.341us       1.341us             1  
                         aten::mm        10.30%       1.081ms        10.32%       1.083ms       1.083ms             1  
                      aten::empty         0.02%       1.665us         0.02%       1.665us       1.665us             1  
                     aten::stride         0.00%       0.135us         0.00%       0.135us       0.135us             1  
                     aten::stride         0.00%       0.156us         0.00%       0.156us       0.156us             1  
                     aten::stride         0.00%       0.118us         0.00%       0.118us       0.118us             1  
                       aten::relu         0.07%       6.939us         0.18%      19.218us      19.218us             1  
                  aten::threshold         0.09%       9.085us         0.12%      12.279us      12.279us             1  
                      aten::empty         0.03%       3.194us         0.03%       3.194us       3.194us             1  
            aten::feature_dropout         0.05%       4.926us         0.43%      45.053us      45.053us             1  
                      aten::empty         0.02%       2.285us         0.02%       2.285us       2.285us             1  
                 aten::bernoulli_         0.08%       8.865us         0.08%       8.865us       8.865us             1  
                       aten::div_         0.14%      14.654us         0.14%      14.654us      14.654us             1  
                        aten::mul         0.12%      12.985us         0.14%      14.323us      14.323us             1  
                      aten::empty         0.01%       1.338us         0.01%       1.338us       1.338us             1  
                      My_function         0.17%      17.528us         0.43%      45.477us      45.477us             1  
                    aten::numpy_T         0.01%       1.233us         0.05%       5.241us       5.241us             1  
                    aten::permute         0.03%       2.999us         0.04%       4.008us       4.008us             1  
                 aten::as_strided         0.01%       1.009us         0.01%       1.009us       1.009us             1  
                         aten::mm         0.20%      20.514us         0.22%      22.708us      22.708us             1  
                      aten::empty         0.01%       1.225us         0.01%       1.225us       1.225us             1  
                     aten::stride         0.01%       0.728us         0.01%       0.728us       0.728us             1  
                     aten::stride         0.00%       0.128us         0.00%       0.128us       0.128us             1  
                     aten::stride         0.00%       0.113us         0.00%       0.113us       0.113us             1  
                aten::log_softmax         0.04%       4.684us         0.31%      32.682us      32.682us             1  
               aten::_log_softmax         0.23%      23.904us         0.27%      27.998us      27.998us             1  
                 aten::contiguous         0.01%       0.532us         0.01%       0.532us       0.532us             1  
                 aten::empty_like         0.02%       2.077us         0.03%       3.562us       3.562us             1  
                      aten::empty         0.01%       1.485us         0.01%       1.485us       1.485us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.493ms

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 4.932843
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.358179
Train Epoch: 1 [1280/60000 (2%)]	Loss: 0.825453
Train Epoch: 1 [1920/60000 (3%)]	Loss: 0.975318
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.547639
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.618055
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.502768
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.500665
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.562465
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.254196
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.298827
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.486099
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.467078
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.140518
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.115175
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.232617
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.327911
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.229477
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.191727
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.188140
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.429081
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.247451
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.183115
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.204851
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.337578
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.298280
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.365209
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.196178
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.312159
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.092066
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.169231
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.073520
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.290177
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.147022
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.117697
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.194332
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.323134
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.180032
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.302323
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.414163
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.209428
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.159246
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.236423
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.342745
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.393402
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.148493
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.164851
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.027513
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.093001
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.121807
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.149895
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.358965
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.311327
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.185925
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.077338
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.173179
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.156897
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.545983
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.190548
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.043575
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.070803
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.047465
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.081082
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.270905
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.070252
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.091348
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.113918
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.053548
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.068423
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.052913
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.235997
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.050303
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.067877
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.145602
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.154239
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.187615
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.097576
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.030819
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.120416
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.146609
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.090219
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.340162
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.243744
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.305502
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.181746
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.136226
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.168522
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.122285
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.221253
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.055772
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.118972
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.192801
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.042507
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.076041

Test set: Average loss: 0.0549, Accuracy: 9813/10000 (98%)

Train Epoch: 2 [0/60000 (0%)]	Loss: 0.418900
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.135750
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.168201
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.105817
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.143622
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.060517
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.071296
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.042322
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.165539
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.077716
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.245363
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.031089
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.031405
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.129399
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.040114
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.108260
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.078306
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.102475
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.101408
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.094651
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.042728
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.052065
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.026285
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.030990
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.219006
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.055564
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.037526
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.082158
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.281116
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.013807
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.016294
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.044489
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.084604
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.059347
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.156544
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.076287
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.142956
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.052375
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.168899
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.138051
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.209423
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.016356
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.085473
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.198244
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.127798
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.077910
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.081190
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.028498
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.187494
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.023771
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.086086
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.099735
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.075428
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.156232
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.066582
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.043651
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.046258
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.136398
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.015690
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.125812
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.095160
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.172247
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.022900
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.038332
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.090090
Train Epoch: 2 [41600/60000 (69%)]	Loss: 0.113426
Train Epoch: 2 [42240/60000 (70%)]	Loss: 0.061365
Train Epoch: 2 [42880/60000 (71%)]	Loss: 0.064653
Train Epoch: 2 [43520/60000 (72%)]	Loss: 0.064669
Train Epoch: 2 [44160/60000 (74%)]	Loss: 0.071082
Train Epoch: 2 [44800/60000 (75%)]	Loss: 0.150879
Train Epoch: 2 [45440/60000 (76%)]	Loss: 0.054475
