Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::select         0.08%       8.689us         0.11%      10.915us      10.915us             1  
                 aten::as_strided         0.02%       2.226us         0.02%       2.226us       2.226us             1  
                    aten::reshape         0.05%       4.862us         0.08%       8.688us       8.688us             1  
                       aten::view         0.04%       3.826us         0.04%       3.826us       3.826us             1  
                     aten::conv2d         0.06%       6.210us        84.82%       8.704ms       8.704ms             1  
                aten::convolution         0.05%       4.955us        84.76%       8.698ms       8.698ms             1  
               aten::_convolution         0.22%      22.277us        84.71%       8.693ms       8.693ms             1  
                 aten::contiguous         0.01%       1.114us         0.01%       1.114us       1.114us             1  
          aten::cudnn_convolution        83.92%       8.612ms        84.07%       8.627ms       8.627ms             1  
                      aten::empty         0.05%       5.561us         0.05%       5.561us       5.561us             1  
                 aten::contiguous         0.00%       0.338us         0.00%       0.338us       0.338us             1  
                    aten::resize_         0.04%       3.945us         0.04%       3.945us       3.945us             1  
                 aten::contiguous         0.00%       0.267us         0.00%       0.267us       0.267us             1  
                    aten::resize_         0.00%       0.218us         0.00%       0.218us       0.218us             1  
                     aten::stride         0.01%       0.737us         0.01%       0.737us       0.737us             1  
                     aten::stride         0.00%       0.189us         0.00%       0.189us       0.189us             1  
                     aten::stride         0.00%       0.151us         0.00%       0.151us       0.151us             1  
                     aten::stride         0.00%       0.147us         0.00%       0.147us       0.147us             1  
                      aten::empty         0.04%       3.615us         0.04%       3.615us       3.615us             1  
                    aten::reshape         0.02%       2.164us         0.11%      11.191us      11.191us             1  
                       aten::view         0.09%       9.027us         0.09%       9.027us       9.027us             1  
                       aten::add_         0.31%      31.334us         0.31%      31.334us      31.334us             1  
                       aten::relu         0.11%      11.713us         0.37%      37.516us      37.516us             1  
                  aten::threshold         0.22%      23.017us         0.25%      25.803us      25.803us             1  
                      aten::empty         0.03%       2.786us         0.03%       2.786us       2.786us             1  
                     aten::conv2d         0.02%       1.556us         1.35%     138.763us     138.763us             1  
                aten::convolution         0.02%       2.361us         1.34%     137.207us     137.207us             1  
               aten::_convolution         0.08%       8.380us         1.31%     134.846us     134.846us             1  
                 aten::contiguous         0.01%       0.810us         0.01%       0.810us       0.810us             1  
          aten::cudnn_convolution         1.01%     104.015us         1.06%     108.483us     108.483us             1  
                      aten::empty         0.02%       1.755us         0.02%       1.755us       1.755us             1  
                 aten::contiguous         0.00%       0.255us         0.00%       0.255us       0.255us             1  
                    aten::resize_         0.01%       0.588us         0.01%       0.588us       0.588us             1  
                 aten::contiguous         0.00%       0.188us         0.00%       0.188us       0.188us             1  
                    aten::resize_         0.00%       0.177us         0.00%       0.177us       0.177us             1  
                     aten::stride         0.00%       0.157us         0.00%       0.157us       0.157us             1  
                     aten::stride         0.00%       0.115us         0.00%       0.115us       0.115us             1  
                     aten::stride         0.00%       0.159us         0.00%       0.159us       0.159us             1  
                     aten::stride         0.00%       0.114us         0.00%       0.114us       0.114us             1  
                      aten::empty         0.01%       0.960us         0.01%       0.960us       0.960us             1  
                    aten::reshape         0.01%       1.361us         0.06%       5.655us       5.655us             1  
                       aten::view         0.04%       4.294us         0.04%       4.294us       4.294us             1  
                       aten::add_         0.11%      11.518us         0.11%      11.518us      11.518us             1  
                       aten::relu         0.04%       4.515us         0.31%      31.782us      31.782us             1  
                  aten::threshold         0.07%       7.515us         0.27%      27.267us      27.267us             1  
                      aten::empty         0.19%      19.752us         0.19%      19.752us      19.752us             1  
                 aten::max_pool2d         0.06%       5.867us         0.35%      36.116us      36.116us             1  
    aten::max_pool2d_with_indices         0.24%      24.704us         0.29%      30.249us      30.249us             1  
                      aten::empty         0.01%       0.787us         0.01%       0.787us       0.787us             1  
                      aten::empty         0.00%       0.447us         0.00%       0.447us       0.447us             1  
                 aten::contiguous         0.01%       0.523us         0.01%       0.523us       0.523us             1  
                     aten::stride         0.00%       0.118us         0.00%       0.118us       0.118us             1  
                     aten::stride         0.00%       0.107us         0.00%       0.107us       0.107us             1  
                     aten::stride         0.00%       0.111us         0.00%       0.111us       0.111us             1  
                     aten::stride         0.00%       0.127us         0.00%       0.127us       0.127us             1  
                    aten::resize_         0.02%       2.113us         0.02%       2.113us       2.113us             1  
                    aten::resize_         0.01%       1.212us         0.01%       1.212us       1.212us             1  
            aten::feature_dropout         0.12%      12.823us         0.78%      80.040us      80.040us             1  
                      aten::empty         0.02%       2.313us         0.02%       2.313us       2.313us             1  
                 aten::bernoulli_         0.18%      18.758us         0.18%      18.758us      18.758us             1  
                       aten::div_         0.24%      24.159us         0.24%      24.159us      24.159us             1  
                        aten::mul         0.20%      20.172us         0.21%      21.987us      21.987us             1  
                      aten::empty         0.02%       1.815us         0.02%       1.815us       1.815us             1  
                    aten::flatten         0.02%       1.976us         0.07%       6.970us       6.970us             1  
                    aten::reshape         0.01%       1.224us         0.05%       4.994us       4.994us             1  
                       aten::view         0.04%       3.770us         0.04%       3.770us       3.770us             1  
                          aten::t         0.08%       8.066us         0.11%      11.416us      11.416us             1  
                  aten::transpose         0.02%       1.839us         0.03%       3.350us       3.350us             1  
                 aten::as_strided         0.01%       1.511us         0.01%       1.511us       1.511us             1  
                      aten::addmm        10.19%       1.045ms        10.25%       1.052ms       1.052ms             1  
                      aten::empty         0.01%       0.999us         0.01%       0.999us       0.999us             1  
                     aten::expand         0.02%       1.605us         0.03%       3.141us       3.141us             1  
                 aten::as_strided         0.01%       1.536us         0.01%       1.536us       1.536us             1  
                    aten::resize_         0.02%       1.817us         0.02%       1.817us       1.817us             1  
                     aten::stride         0.00%       0.177us         0.00%       0.177us       0.177us             1  
                     aten::stride         0.00%       0.118us         0.00%       0.118us       0.118us             1  
                     aten::stride         0.00%       0.144us         0.00%       0.144us       0.144us             1  
                       aten::relu         0.07%       7.129us         0.18%      18.907us      18.907us             1  
                  aten::threshold         0.09%       8.829us         0.11%      11.778us      11.778us             1  
                      aten::empty         0.03%       2.949us         0.03%       2.949us       2.949us             1  
            aten::feature_dropout         0.05%       5.440us         0.45%      46.508us      46.508us             1  
                      aten::empty         0.02%       2.037us         0.02%       2.037us       2.037us             1  
                 aten::bernoulli_         0.09%       8.837us         0.09%       8.837us       8.837us             1  
                       aten::div_         0.13%      13.192us         0.13%      13.192us      13.192us             1  
                        aten::mul         0.14%      14.146us         0.17%      17.002us      17.002us             1  
                      aten::empty         0.03%       2.856us         0.03%       2.856us       2.856us             1  
                          aten::t         0.05%       5.233us         0.07%       7.441us       7.441us             1  
                  aten::transpose         0.01%       1.272us         0.02%       2.208us       2.208us             1  
                 aten::as_strided         0.01%       0.936us         0.01%       0.936us       0.936us             1  
                      aten::addmm         0.32%      32.607us         0.37%      37.678us      37.678us             1  
                      aten::empty         0.01%       0.688us         0.01%       0.688us       0.688us             1  
                     aten::expand         0.01%       1.122us         0.02%       1.569us       1.569us             1  
                 aten::as_strided         0.00%       0.447us         0.00%       0.447us       0.447us             1  
                    aten::resize_         0.02%       1.685us         0.02%       1.685us       1.685us             1  
                     aten::stride         0.00%       0.259us         0.00%       0.259us       0.259us             1  
                     aten::stride         0.01%       0.739us         0.01%       0.739us       0.739us             1  
                     aten::stride         0.00%       0.131us         0.00%       0.131us       0.131us             1  
                aten::log_softmax         0.04%       4.196us         0.32%      33.283us      33.283us             1  
               aten::_log_softmax         0.23%      24.100us         0.28%      29.087us      29.087us             1  
                 aten::contiguous         0.01%       0.528us         0.01%       0.528us       0.528us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.262ms

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.291654
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.298657
Train Epoch: 1 [1280/60000 (2%)]	Loss: 0.592743
Train Epoch: 1 [1920/60000 (3%)]	Loss: 0.592096
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.371796
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.402787
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.251823
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.236888
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.365931
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.209181
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.398739
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.290267
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.363028
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.171700
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.309826
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.174319
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.343240
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.165303
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.090428
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.122201
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.230086
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.272889
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.221021
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.352223
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.228655
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.209559
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.221756
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.130669
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.146872
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.191477
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.329519
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.194803
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.192033
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.044701
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.180376
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.145879
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.186827
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.221863
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.105208
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.124981
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.371967
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.087681
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.039635
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.235492
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.216492
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.260484
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.195707
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.257569
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.155043
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.069288
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.137613
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.082380
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.093865
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.053971
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.083821
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.054338
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.126544
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.074585
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.059393
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.064891
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.174646
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.123061
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.083134
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.073035
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.164303
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.103682
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.079963
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.050334
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.019546
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.182887
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.151500
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.080554
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.005717
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.148468
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.035966
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.068517
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.257697
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.156806
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.167856
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.081722
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.059779
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.032051
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.072554
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.272634
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.068306
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.174738
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.166650
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.128491
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.007602
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.112446
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.172916
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.046605
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.023873
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.028514

Test set: Average loss: 0.0574, Accuracy: 9816/10000 (98%)

Train Epoch: 2 [0/60000 (0%)]	Loss: 0.081438
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.067282
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.048053
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.035297
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.125732
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.011548
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.017706
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.048566
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.048259
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.213732
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.087644
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.009203
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.023826
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.021552
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.035645
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.034740
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.065383
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.052505
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.140278
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.105597
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.113564
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.051343
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.034711
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.093831
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.068249
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.098741
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.056404
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.026539
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.079389
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.052555
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.233977
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.090279
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.018393
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.018892
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.085926
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.100218
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.044065
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.011544
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.197190
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.025559
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.052702
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.035098
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.021957
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.037149
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.055866
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.045914
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.008605
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.014442
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.042399
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.211028
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.070361
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.014655
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.009120
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.013786
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.005229
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.254921
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.036558
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.015930
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.131457
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.058156
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.112034
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.020734
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.093290
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.025972
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.066836
Train Epoch: 2 [41600/60000 (69%)]	Loss: 0.062631
Train Epoch: 2 [42240/60000 (70%)]	Loss: 0.006930
Train Epoch: 2 [42880/60000 (71%)]	Loss: 0.051920
Train Epoch: 2 [43520/60000 (72%)]	Loss: 0.017104
Train Epoch: 2 [44160/60000 (74%)]	Loss: 0.051451
